instance family
mcs10_r005_s40_AB09 0 179494
mcs10_r005_s50_AB00 0 1000004
mcs10_r005_s50_AB01 0 1000001
mcs10_r005_s50_AB02 0 1000026
mcs10_r005_s50_AB03 0 1000019
mcs10_r005_s50_AB04 0 1000018
mcs10_r005_s50_AB05 0 1000009
mcs10_r005_s50_AB06 0 1000018
mcs10_r005_s50_AB07 0 1000018
mcs10_r005_s50_AB08 0 1000003
mcs10_r005_s50_AB09 0 1000014
mcs10_r01_s20_AB00 0 18
mcs10_r01_s20_AB01 0 14
mcs10_r01_s20_AB02 0 16
mcs10_r01_s20_AB03 0 7
mcs10_r01_s20_AB04 0 10
mcs10_r01_s20_AB05 0 7
mcs10_r01_s20_AB06 0 24
mcs10_r01_s20_AB07 0 6
mcs10_r01_s20_AB08 0 11
mcs10_r01_s20_AB09 0 8
mcs10_r01_s25_AB00 0 450
mcs10_r01_s25_AB01 0 322
mcs10_r01_s25_AB02 0 320
mcs10_r01_s25_AB03 0 285
mcs10_r01_s25_AB04 0 488
mcs10_r01_s25_AB05 0 413
mcs10_r01_s25_AB06 0 147
mcs10_r01_s25_AB07 0 93
mcs10_r01_s25_AB08 0 297
mcs10_r01_s25_AB09 0 302
mcs10_r01_s30_AB00 0 9697
mcs10_r01_s30_AB01 0 5882
mcs10_r01_s30_AB02 0 4692
mcs10_r01_s30_AB03 0 9756
mcs10_r01_s30_AB04 0 4339
mcs10_r01_s30_AB05 0 7956
mcs10_r01_s30_AB06 0 8202
mcs10_r01_s30_AB07 0 5084
mcs10_r01_s30_AB08 0 10208
mcs10_r01_s30_AB09 0 8281
mcs10_r01_s35_AB00 0 59051
mcs10_r01_s35_AB01 0 85004
mcs10_r01_s35_AB02 0 99766
mcs10_r01_s35_AB03 0 101602
mcs10_r01_s35_AB04 0 91599
mcs10_r01_s35_AB05 0 136101
mcs10_r01_s35_AB06 0 44798
mcs10_r01_s35_AB07 0 189572
mcs10_r01_s35_AB08 0 109406
mcs10_r01_s35_AB09 0 148939
mcs10_r01_s40_AB00 0 1000009
mcs10_r01_s40_AB01 0 745110
mcs10_r01_s40_AB02 0 1000008
mcs10_r01_s40_AB03 0 1000018
mcs10_r01_s40_AB04 0 1000024
mcs10_r01_s40_AB05 0 1000001
mcs10_r01_s40_AB06 0 868008
mcs10_r01_s40_AB07 0 899255
mcs10_r01_s40_AB08 0 1000023
mcs10_r01_s40_AB09 0 1000020
mcs10_r01_s50_AB00 0 1000005
mcs10_r01_s50_AB01 0 1000015
mcs10_r01_s50_AB02 0 1000018
mcs10_r01_s50_AB03 0 1000013
mcs10_r01_s50_AB04 0 1000001
mcs10_r01_s50_AB05 0 1000017
mcs10_r01_s50_AB06 0 1000015
mcs10_r01_s50_AB07 0 1000021
mcs10_r01_s50_AB08 0 1000011
mcs10_r01_s50_AB09 0 1000013
mcs10_r02_s20_AB00 0 112
mcs10_r02_s20_AB01 0 48
mcs10_r02_s20_AB02 0 29
mcs10_r02_s20_AB03 0 61
mcs10_r02_s20_AB04 0 103
mcs10_r02_s20_AB05 0 169
mcs10_r02_s20_AB06 0 85
mcs10_r02_s20_AB07 0 104
mcs10_r02_s20_AB08 0 105
mcs10_r02_s20_AB09 0 66
mcs10_r02_s25_AB00 0 965
mcs10_r02_s25_AB01 0 1123
mcs10_r02_s25_AB02 0 1654
mcs10_r02_s25_AB03 0 847
mcs10_r02_s25_AB04 0 1359
mcs10_r02_s25_AB05 0 1293
mcs10_r02_s25_AB06 0 1341
mcs10_r02_s25_AB07 0 1888
mcs10_r02_s25_AB08 0 805
mcs10_r02_s25_AB09 0 1259
mcs10_r02_s30_AB00 0 16684
mcs10_r02_s30_AB01 0 17098
mcs10_r02_s30_AB02 0 19024
mcs10_r02_s30_AB03 0 22506
mcs10_r02_s30_AB04 0 21932
mcs10_r02_s30_AB05 0 17962
mcs10_r02_s30_AB06 0 18593
mcs10_r02_s30_AB07 0 14169
mcs10_r02_s30_AB08 0 23603
mcs10_r02_s30_AB09 0 23569
mcs10_r02_s35_AB00 0 288209
mcs10_r02_s35_AB01 0 259171
mcs10_r02_s35_AB02 0 298449
mcs10_r02_s35_AB03 0 331279
mcs10_r02_s35_AB04 0 275775
mcs10_r02_s35_AB05 0 297011
mcs10_r02_s35_AB06 0 333166
mcs10_r02_s35_AB07 0 248732
mcs10_r02_s35_AB08 0 362280
mcs10_r02_s35_AB09 0 346345
mcs10_r02_s40_AB00 0 1000016
mcs10_r02_s40_AB01 0 1000015
mcs10_r02_s40_AB02 0 1000006
mcs10_r02_s40_AB03 0 1000026
mcs10_r02_s40_AB04 0 1000016
mcs10_r02_s40_AB05 0 1000004
mcs10_r02_s40_AB06 0 1000010
mcs10_r02_s40_AB07 0 1000013
mcs10_r02_s40_AB08 0 1000003
mcs10_r02_s40_AB09 0 1000003
mcs10_r02_s50_AB00 0 1000022
mcs10_r02_s50_AB01 0 1000027
mcs10_r02_s50_AB02 0 1000018
mcs10_r02_s50_AB03 0 1000027
mcs10_r02_s50_AB04 0 1000003
mcs10_r02_s50_AB05 0 1000014
mcs10_r02_s50_AB06 0 1000029
mcs10_r02_s50_AB07 0 1000001
mcs10_r02_s50_AB08 0 1000026
mcs10_r02_s50_AB09 0 1000013
mcs30_b03_s15_AB00 0 1
mcs30_b03_s15_AB01 0 1
mcs30_b03_s15_AB02 0 2
mcs30_b03_s15_AB03 0 1
mcs30_b03_s15_AB04 0 1
mcs30_b03_s15_AB05 0 1
mcs30_b03_s15_AB06 0 1
mcs30_b03_s15_AB07 0 1
mcs30_b03_s15_AB08 0 2
mcs30_b03_s15_AB09 0 2
mcs30_b03_s20_AB00 0 4
mcs30_b03_s20_AB01 0 5
mcs30_b03_s20_AB02 0 9
mcs30_b03_s20_AB03 0 7
mcs30_b03_s20_AB04 0 5
mcs30_b03_s20_AB05 0 11
mcs30_b03_s20_AB06 0 4
mcs30_b03_s20_AB07 0 3
mcs30_b03_s20_AB08 0 4
mcs30_b03_s20_AB09 0 3
mcs30_b03_s25_AB00 0 17
mcs30_b03_s25_AB01 0 9
mcs30_b03_s25_AB02 0 49
mcs30_b03_s25_AB03 0 23
mcs30_b03_s25_AB04 0 9
mcs30_b03_s25_AB05 0 37
mcs30_b03_s25_AB06 0 28
mcs30_b03_s25_AB07 0 28
mcs30_b03_s25_AB08 0 48
mcs30_b03_s25_AB09 0 31
mcs30_b03_s30_AB00 0 139
mcs30_b03_s30_AB01 0 219
mcs30_b03_s30_AB02 0 839
mcs30_b03_s30_AB03 0 225
mcs30_b03_s30_AB04 0 84
mcs30_b03_s30_AB05 0 335
mcs30_b03_s30_AB06 0 1328
mcs30_b03_s30_AB07 0 242
mcs30_b03_s30_AB08 0 184
mcs30_b03_s30_AB09 0 117
mcs30_b03_s35_AB00 0 1073
mcs30_b03_s35_AB01 0 1788
mcs30_b03_s35_AB02 0 1235
mcs30_b03_s35_AB03 0 2334
mcs30_b03_s35_AB04 0 1098
mcs30_b03_s35_AB05 0 1558
mcs30_b03_s35_AB06 0 829
mcs30_b03_s35_AB07 0 1636
mcs30_b03_s35_AB08 0 879
mcs30_b03_s35_AB09 0 1011
mcs30_b03_s40_AB00 0 23660
mcs30_b03_s40_AB01 0 11587
mcs30_b03_s40_AB02 0 15577
mcs30_b03_s40_AB03 0 15851
mcs30_b03_s40_AB04 0 7861
mcs30_b03_s40_AB05 0 17493
mcs30_b03_s40_AB06 0 7964
mcs30_b03_s40_AB07 0 16372
mcs30_b03_s40_AB08 0 8743
mcs30_b03_s40_AB09 0 10984
mcs30_b03_s50_AB00 0 349962
mcs30_b03_s50_AB01 0 785295
mcs30_b03_s50_AB02 0 432462
mcs30_b03_s50_AB03 0 701344
mcs30_b03_s50_AB04 0 921058
mcs30_b03_s50_AB05 0 542378
mcs30_b03_s50_AB06 0 1000016
mcs30_b03_s50_AB07 0 1000011
mcs30_b03_s50_AB08 0 1000011
mcs30_b03_s50_AB09 0 915206
mcs30_b03m_s15_AB00 0 1
mcs30_b03m_s15_AB01 0 2
mcs30_b03m_s15_AB02 0 2
mcs30_b03m_s15_AB03 0 1
mcs30_b03m_s15_AB04 0 1
mcs30_b03m_s15_AB05 0 1
mcs30_b03m_s15_AB06 0 2
mcs30_b03m_s15_AB07 0 1
mcs30_b03m_s15_AB08 0 2
mcs30_b03m_s15_AB09 0 1
mcs30_b03m_s20_AB00 0 4
mcs30_b03m_s20_AB01 0 5
mcs30_b03m_s20_AB02 0 7
mcs30_b03m_s20_AB03 0 12
mcs30_b03m_s20_AB04 0 5
mcs30_b03m_s20_AB05 0 5
mcs30_b03m_s20_AB06 0 4
mcs30_b03m_s20_AB07 0 4
mcs30_b03m_s20_AB08 0 5
mcs30_b03m_s20_AB09 0 5
mcs30_b03m_s25_AB00 0 10
mcs30_b03m_s25_AB01 0 21
mcs30_b03m_s25_AB02 0 32
mcs30_b03m_s25_AB03 0 40
mcs30_b03m_s25_AB04 0 54
mcs30_b03m_s25_AB05 0 25
mcs30_b03m_s25_AB06 0 24
mcs30_b03m_s25_AB07 0 42
mcs30_b03m_s25_AB08 0 151
mcs30_b03m_s25_AB09 0 19
mcs30_b03m_s30_AB00 0 204
mcs30_b03m_s30_AB01 0 93
mcs30_b03m_s30_AB02 0 188
mcs30_b03m_s30_AB03 0 264
mcs30_b03m_s30_AB04 0 327
mcs30_b03m_s30_AB05 0 287
mcs30_b03m_s30_AB06 0 211
mcs30_b03m_s30_AB07 0 180
mcs30_b03m_s30_AB08 0 249
mcs30_b03m_s30_AB09 0 207
mcs30_b03m_s35_AB00 0 1336
mcs30_b03m_s35_AB01 0 1287
mcs30_b03m_s35_AB02 0 368
mcs30_b03m_s35_AB03 0 2099
mcs30_b03m_s35_AB04 0 1665
