instance family
si6_m4D_m1296.06 5 1000027
si6_m4D_m1296.01 5 1000032
si6_m4D_m1296.03 5 1000034
si6_r001_m200.05 7 1000017
si6_r001_m200.09 7 1000004
si6_r001_m200.07 7 1000006
si6_r001_m200.02 7 1000012
si6_r001_m200.01 7 1000002
si6_r001_m200.00 7 1000014
si6_r001_m200.04 7 1000021
si6_r001_m200.06 7 1000018
si6_r001_m200.08 7 1000011
si6_r001_m200.03 7 1000012
si4_b06_m400.06 3 20
si4_b06_m400.07 3 20
si4_b06_m400.09 3 19
si4_b06_m400.01 3 19
si4_b06_m400.04 3 19
si4_b06_m400.03 3 19
si4_b06_m400.00 3 20
si4_b06_m400.05 3 20
si4_b06_m400.08 3 20
si4_b06_m400.02 3 19
si2_m4Dr6_m256.06 6 3883
si2_m4Dr6_m256.05 6 12
si2_m4Dr6_m256.09 6 1000014
si2_m4Dr6_m256.00 6 1000009
si2_m4Dr6_m256.07 6 418095
si2_m4Dr6_m256.04 6 1000033
si2_m4Dr6_m256.02 6 1000027
si2_m4Dr6_m256.01 6 1000021
si2_m4Dr6_m256.08 6 1000017
si2_m4Dr6_m256.03 6 1000016
si6_r01_m200.04 7 1000032
si6_r01_m200.08 7 1000041
si6_r01_m200.02 7 1000023
si6_r01_m200.09 7 1000003
si6_r01_m200.07 7 1000020
si6_r01_m200.00 7 1000008
si6_r01_m200.01 7 1000022
si6_r01_m200.03 7 1000022
si6_r01_m200.05 7 1000026
si6_r01_m200.06 7 1000032
si2_b03m_m800.03 4 1000055
si2_b03m_m800.02 4 1000028
si2_b03m_m800.09 4 4868
si2_b03m_m800.04 4 1000036
si2_b03m_m800.06 4 1000085
si2_b03m_m800.05 4 1000058
si2_b03m_m800.01 4 31174
si2_b03m_m800.08 4 1000045
si2_b03m_m800.07 4 1000041
si2_b03m_m800.00 4 1000061
si2_r001_m200.06 7 14
si2_r001_m200.01 7 17996
si2_r001_m200.02 7 1253
si2_r001_m200.07 7 27519
si2_r001_m200.04 7 62733
si2_r001_m200.05 7 210127
si2_r001_m200.09 7 121829
si2_r001_m200.03 7 3032
si2_r001_m200.00 7 4
si2_r001_m200.08 7 1000022
si6_b03m_m800.01 4 1000039
si6_b03m_m800.08 4 1000047
si6_b03m_m800.03 4 329
si6_b03m_m800.00 4 1000010
si6_b03m_m800.04 4 1000082
si6_b03m_m800.05 4 1000032
si6_b03m_m800.07 4 1000017
si6_b03m_m800.06 4 1000045
si6_b03m_m800.09 4 1000031
si6_b03m_m800.02 4 1000031
si4_r005_m200.00 7 1000004
