instance family
si4_b06_m400.03 3 154
si4_b06_m400.00 3 129
si4_b06_m400.05 3 132
si4_b06_m400.08 3 184
si4_b06_m400.02 3 130
si2_m4Dr6_m256.06 6 32
si2_m4Dr6_m256.05 6 32
si2_m4Dr6_m256.09 6 32
si2_m4Dr6_m256.00 6 55
si2_m4Dr6_m256.07 6 51
si2_m4Dr6_m256.04 6 45
si2_m4Dr6_m256.02 6 33
si2_m4Dr6_m256.01 6 51
si2_m4Dr6_m256.08 6 36
si2_m4Dr6_m256.03 6 33
si6_r01_m200.04 7 1163
si6_r01_m200.08 7 703
si6_r01_m200.02 7 2823
si6_r01_m200.09 7 4893
si6_r01_m200.07 7 1040
si6_r01_m200.00 7 1181
si6_r01_m200.01 7 12972
si6_r01_m200.03 7 3057
si6_r01_m200.05 7 4598
si6_r01_m200.06 7 4714
si2_b03m_m800.03 4 429
si2_b03m_m800.02 4 392
si2_b03m_m800.09 4 351
si2_b03m_m800.04 4 339
si2_b03m_m800.06 4 418
si2_b03m_m800.05 4 339
si2_b03m_m800.01 4 343
si2_b03m_m800.08 4 407
si2_b03m_m800.07 4 338
si2_b03m_m800.00 4 333
si2_r001_m200.06 7 39
si2_r001_m200.01 7 21
si2_r001_m200.02 7 34
si2_r001_m200.07 7 32
si2_r001_m200.04 7 20
si2_r001_m200.05 7 52
si2_r001_m200.09 7 3973
si2_r001_m200.03 7 19
si2_r001_m200.00 7 20
si2_r001_m200.08 7 37
si6_b03m_m800.01 4 692
si6_b03m_m800.08 4 1059
si6_b03m_m800.03 4 689
si6_b03m_m800.00 4 678
si6_b03m_m800.04 4 826
si6_b03m_m800.05 4 692
si6_b03m_m800.07 4 840
si6_b03m_m800.06 4 677
si6_b03m_m800.09 4 675
si6_b03m_m800.02 4 868
si4_r005_m200.00 7 427
si4_r005_m200.08 7 152
si4_r005_m200.02 7 119
si4_r005_m200.05 7 165
si4_r005_m200.06 7 165
si4_r005_m200.04 7 732
si4_r005_m200.07 7 252
si4_r005_m200.09 7 258
si4_r005_m200.01 7 239
si4_r005_m200.03 7 221
si6_b09m_m400.03 4 161
si6_b09m_m400.07 4 258
si6_b09m_m400.00 4 163
si6_b09m_m400.04 4 165
si6_b09m_m400.06 4 196
si6_b09m_m400.08 4 158
si6_b09m_m400.02 4 162
si6_b09m_m400.05 4 180
si6_b09m_m400.09 4 163
si6_b09m_m400.01 4 162
si2_b09_m200.08 3 23
si2_b09_m200.01 3 22
si2_b09_m200.06 3 22
si2_b09_m200.05 3 22
si2_b09_m200.00 3 22
si2_b09_m200.02 3 35
si2_b09_m200.03 3 22
si2_b09_m200.04 3 34
si2_b09_m200.09 3 28
si2_b09_m200.07 3 22
si6_r01_m600.02 7 902339
si6_r01_m600.06 7 819878
si6_r01_m600.09 7 344834
si6_r01_m600.08 7 1000001
si6_r01_m600.05 7 799859
si6_r01_m600.07 7 1000000
si6_r01_m600.03 7 690811
si6_r01_m600.00 7 206866
si6_r01_m600.01 7 1000001
si6_r01_m600.04 7 1000001
si2_b06_m200.02 3 21
si2_b06_m200.00 3 33
si2_b06_m200.01 3 23
si2_b06_m200.06 3 31
si2_b06_m200.09 3 20
si2_b06_m200.07 3 20
si2_b06_m200.04 3 20
si2_b06_m200.08 3 23
si2_b06_m200.03 3 20
si2_b06_m200.05 3 20
si6_m4Dr2_m1296.05 6 2494
si6_m4Dr2_m1296.09 6 2749
si6_m4Dr2_m1296.01 6 2480
si6_m4Dr2_m1296.06 6 2905
si6_m4Dr2_m1296.07 6 2659
si6_m4Dr2_m1296.03 6 2575
si6_m4Dr2_m1296.04 6 2475
si6_m4Dr2_m1296.00 6 2695
si6_m4Dr2_m1296.08 6 2629
si6_m4Dr2_m1296.02 6 2474
si2_b09m_m800.09 4 424
si2_b09m_m800.07 4 540
si2_b09m_m800.00 4 404
si2_b09m_m800.04 4 464
si2_b09m_m800.02 4 407
si2_b09m_m800.05 4 464
si2_b09m_m800.03 4 412
si2_b09m_m800.08 4 411
si2_b09m_m800.06 4 429
si2_b09m_m800.01 4 406
si4_b03_m400.01 3 126
si4_b03_m400.02 3 127
si4_b03_m400.05 3 124
si4_b03_m400.07 3 125
si4_b03_m400.06 3 124
si4_b03_m400.00 3 182
si4_b03_m400.03 3 129
si4_b03_m400.04 3 161
si4_b03_m400.09 3 125
si4_b03_m400.08 3 214
si2_b03_m200.05 3 18
si2_b03_m200.09 3 30
si2_b03_m200.07 3 19
si2_b03_m200.01 3 19
si2_b03_m200.08 3 18
si2_b03_m200.02 3 18
si2_b03_m200.04 3 18
si2_b03_m200.03 3 18
si2_b03_m200.06 3 29
si2_b03_m200.00 3 18
si4_r005_m600.00 7 105647
si4_r005_m600.02 7 30050
si4_r005_m600.08 7 115558
si4_r005_m600.05 7 63833
si4_r005_m600.07 7 51253
si4_r005_m600.06 7 196173
si4_r005_m600.01 7 86166
si4_r005_m600.04 7 87877
si4_r005_m600.03 7 36761
si4_r005_m600.09 7 30958
si4_b09_m400.05 3 135
si4_b09_m400.03 3 135
si4_b09_m400.00 3 136
si4_b09_m400.07 3 135
si4_b09_m400.01 3 134
si4_b09_m400.06 3 149
si4_b09_m400.04 3 150
si4_b09_m400.02 3 134
si4_b09_m400.08 3 134
si4_b09_m400.09 3 134
si4_b06m_m400.06 4 134
si4_b06m_m400.03 4 145
si4_b06m_m400.01 4 113
si4_b06m_m400.08 4 114
si4_b06m_m400.05 4 118
si4_b06m_m400.07 4 115
si4_b06m_m400.00 4 120
si4_b06m_m400.04 4 147
si4_b06m_m400.09 4 168
si4_b06m_m400.02 4 140
si2_m4Dr2_m625.05 6 206
si2_m4Dr2_m625.00 6 226
si2_m4Dr2_m625.08 6 201
si2_m4Dr2_m625.09 6 207
si2_m4Dr2_m625.06 6 214
si2_m4Dr2_m625.04 6 214
si2_m4Dr2_m625.01 6 214
si2_m4Dr2_m625.03 6 227
si2_m4Dr2_m625.02 6 218
si2_m4Dr2_m625.07 6 222
si2_r005_m200.02 7 84
si2_r005_m200.01 7 2950
si2_r005_m200.03 7 291
si2_r005_m200.05 7 5641
si2_r005_m200.08 7 1638
si2_r005_m200.04 7 107
si2_r005_m200.09 7 412
si2_r005_m200.06 7 361
si2_r005_m200.00 7 1557
si2_r005_m200.07 7 144
si4_b03m_m400.03 4 145
si4_b03m_m400.09 4 101
si4_b03m_m400.08 4 135
si4_b03m_m400.04 4 104
si4_b03m_m400.00 4 101
si4_b03m_m400.01 4 184
si4_b03m_m400.07 4 126
si4_b03m_m400.02 4 110
si4_b03m_m400.06 4 106
si4_b03m_m400.05 4 143
si2_r01_m600.01 7 1000000
si2_r01_m600.06 7 1000000
si2_r01_m600.09 7 1000000
si2_r01_m600.08 7 1000000
si2_r01_m600.04 7 1000000
si2_r01_m600.02 7 1000000
si2_r01_m600.00 7 1000001
si2_r01_m600.07 7 1000000
si2_r01_m600.03 7 1000000
si2_r01_m600.05 7 1000000
si4_m4Dr6_m256.01 6 44
si4_m4Dr6_m256.00 6 45
si4_m4Dr6_m256.05 6 51
si4_m4Dr6_m256.08 6 46
si4_m4Dr6_m256.03 6 73
si4_m4Dr6_m256.06 6 44
si4_m4Dr6_m256.09 6 45
si4_m4Dr6_m256.07 6 59
si4_m4Dr6_m256.02 6 67
si4_m4Dr6_m256.04 6 65
si2_b03m_m400.02 4 73
si2_b03m_m400.00 4 73
si2_b03m_m400.01 4 77
si2_b03m_m400.05 4 73
si2_b03m_m400.08 4 123
si2_b03m_m400.07 4 86
si2_b03m_m400.09 4 95
si2_b03m_m400.03 4 75
si2_b03m_m400.04 4 74
si2_b03m_m400.06 4 108
si2_b03m_m200.05 4 22
si2_b03m_m200.03 4 17
si2_b03m_m200.00 4 17
si2_b03m_m200.08 4 17
si2_b03m_m200.06 4 17
si2_b03m_m200.02 4 16
si2_b03m_m200.09 4 17
si2_b03m_m200.04 4 17
si2_b03m_m200.01 4 16
si2_b03m_m200.07 4 16
si4_r001_m200.04 7 27
si4_r001_m200.07 7 43
si4_r001_m200.00 7 38
si4_r001_m200.01 7 44
si4_r001_m200.03 7 27
si4_r001_m200.06 7 43
si4_r001_m200.05 7 27
si4_r001_m200.08 7 28
si4_r001_m200.09 7 34
si4_r001_m200.02 7 31
si2_m4D_m256.08 5 29
si2_m4D_m256.03 5 31
si2_m4D_m256.02 5 32
si2_m4D_m256.06 5 30
si2_m4D_m256.04 5 28
si2_m4D_m256.07 5 29
si2_m4D_m256.01 5 31
si2_m4D_m256.09 5 32
si2_m4D_m256.00 5 29
si2_m4D_m256.05 5 50
si6_r01_m400.04 7 126546
si6_r01_m400.08 7 112616
si6_r01_m400.07 7 91136
si6_r01_m400.06 7 73612
si6_r01_m400.05 7 226337
si6_r01_m400.02 7 173043
si6_r01_m400.00 7 282488
si6_r01_m400.03 7 23603
si6_r01_m400.01 7 72158
si6_r01_m400.09 7 137129
si2_m4Dr4_m625.07 6 220
si2_m4Dr4_m625.02 6 218
si2_m4Dr4_m625.03 6 228
si2_m4Dr4_m625.00 6 211
si2_m4Dr4_m625.05 6 214
si2_m4Dr4_m625.06 6 221
si2_m4Dr4_m625.09 6 392
si2_m4Dr4_m625.01 6 223
si2_m4Dr4_m625.08 6 302
si2_m4Dr4_m625.04 6 261
si4_r01_m400.01 7 69583
si4_r01_m400.08 7 300721
si4_r01_m400.02 7 833343
si4_r01_m400.03 7 306818
si4_r01_m400.07 7 683078
si4_r01_m400.06 7 85795
si4_r01_m400.04 7 794359
si4_r01_m400.00 7 910418
si4_r01_m400.05 7 84122
si4_r01_m400.09 7 189291
si2_b09m_m400.09 4 92
si2_b09m_m400.03 4 93
si2_b09m_m400.01 4 136
si2_b09m_m400.08 4 93
si2_b09m_m400.05 4 149
si2_b09m_m400.06 4 152
si2_b09m_m400.00 4 93
si2_b09m_m400.02 4 93
si2_b09m_m400.04 4 92
si2_b09m_m400.07 4 92
si2_b09_m800.07 3 413
si2_b09_m800.04 3 412
si2_b09_m800.05 3 414
si2_b09_m800.00 3 412
si2_b09_m800.02 3 435
si2_b09_m800.01 3 409
si2_b09_m800.08 3 409
si2_b09_m800.09 3 422
si2_b09_m800.03 3 600
si2_b09_m800.06 3 432
si6_b03_m400.04 3 172
si6_b03_m400.09 3 182
si6_b03_m400.02 3 172
si6_b03_m400.06 3 192
si6_b03_m400.05 3 172
si6_b03_m400.08 3 172
si6_b03_m400.01 3 173
si6_b03_m400.07 3 171
si6_b03_m400.03 3 195
si6_b03_m400.00 3 187
si2_r005_m600.03 7 43504
si2_r005_m600.00 7 253874
si2_r005_m600.06 7 178591
si2_r005_m600.01 7 160939
si2_r005_m600.04 7 315374
si2_r005_m600.09 7 77588
si2_r005_m600.05 7 502588
si2_r005_m600.02 7 273389
si2_r005_m600.08 7 66533
si2_r005_m600.07 7 14386
si4_r01_m600.05 7 1000000
si4_r01_m600.02 7 1000000
si4_r01_m600.03 7 1000000
si4_r01_m600.07 7 1000000
si4_r01_m600.08 7 1000000
si4_r01_m600.06 7 1000000
si4_r01_m600.01 7 1000000
si4_r01_m600.04 7 1000000
si4_r01_m600.00 7 1000000
si4_r01_m600.09 7 1000000
si2_b09_m400.04 3 119
si2_b09_m400.08 3 91
si2_b09_m400.05 3 90
si2_b09_m400.01 3 91
si2_b09_m400.03 3 108
si2_b09_m400.02 3 90
si2_b09_m400.07 3 92
si2_b09_m400.09 3 114
si2_b09_m400.06 3 90
si2_b09_m400.00 3 91
si4_b06_m200.06 3 45
si4_b06_m200.03 3 29
si4_b06_m200.02 3 29
si4_b06_m200.07 3 29
si4_b06_m200.05 3 51
si4_b06_m200.08 3 50
si4_b06_m200.00 3 29
si4_b06_m200.04 3 48
si4_b06_m200.01 3 31
si4_b06_m200.09 3 29
si4_r005_m400.06 7 15685
si4_r005_m400.03 7 2557
si4_r005_m400.07 7 16755
si4_r005_m400.01 7 5369
si4_r005_m400.04 7 9972
si4_r005_m400.00 7 10554
si4_r005_m400.09 7 4638
si4_r005_m400.05 7 4215
si4_r005_m400.08 7 3926
si4_r005_m400.02 7 4522
si4_m4Dr2_m1296.07 6 1899
si4_m4Dr2_m1296.00 6 1846
si4_m4Dr2_m1296.05 6 2092
si4_m4Dr2_m1296.04 6 1934
si4_m4Dr2_m1296.08 6 2207
si4_m4Dr2_m1296.01 6 1844
si4_m4Dr2_m1296.06 6 1953
si4_m4Dr2_m1296.02 6 1905
si4_m4Dr2_m1296.03 6 2007
si4_m4Dr2_m1296.09 6 1976
si6_b09_m800.03 3 922
si6_b09_m800.09 3 923
si6_b09_m800.07 3 923
si6_b09_m800.05 3 1183
si6_b09_m800.04 3 940
si6_b09_m800.01 3 920
si6_b09_m800.00 3 919
si6_b09_m800.02 3 919
si6_b09_m800.06 3 926
si6_b09_m800.08 3 1058
