instance family
si6_m4D_m1296.00 5 100000000
si6_m4D_m1296.08 5 100000000
si6_m4D_m1296.04 5 100000000
si6_m4D_m1296.06 5 100000000
si6_m4D_m1296.01 5 100000000
si6_m4D_m1296.03 5 100000000
si6_r001_m200.05 7 100000000
si6_r001_m200.09 7 100000000
si6_r001_m200.07 7 100000000
si6_r001_m200.02 7 100000000
si6_r001_m200.01 7 100000000
si6_r001_m200.00 7 100000000
si6_r001_m200.04 7 100000000
si6_r001_m200.06 7 100000000
si6_r001_m200.08 7 100000000
si6_r001_m200.03 7 100000000
si4_b06_m400.06 3 100000000
si4_b06_m400.07 3 100000000
si4_b06_m400.09 3 100000000
si4_b06_m400.01 3 100000000
si4_b06_m400.04 3 100000000
si4_b06_m400.03 3 100000000
si4_b06_m400.00 3 100000000
si4_b06_m400.05 3 100000000
si4_b06_m400.08 3 100000000
si4_b06_m400.02 3 100000000
si2_m4Dr6_m256.06 6 1000008
si2_m4Dr6_m256.05 6 1000008
si2_m4Dr6_m256.09 6 1000009
si2_m4Dr6_m256.00 6 1000008
si2_m4Dr6_m256.07 6 1000007
si2_m4Dr6_m256.04 6 1000009
si2_m4Dr6_m256.02 6 1000006
si2_m4Dr6_m256.01 6 1000008
si2_m4Dr6_m256.08 6 1000007
si2_m4Dr6_m256.03 6 1000009
si6_r01_m200.04 7 1000015
si6_r01_m200.08 7 1000015
si6_r01_m200.02 7 1000015
si6_r01_m200.09 7 1000018
si6_r01_m200.07 7 1000015
si6_r01_m200.00 7 1000014
si6_r01_m200.01 7 1000013
si6_r01_m200.03 7 1000015
si6_r01_m200.05 7 1000015
si6_r01_m200.06 7 1000015
si2_b03m_m800.03 4 100000000
si2_b03m_m800.02 4 100000000
si2_b03m_m800.09 4 100000000
si2_b03m_m800.04 4 100000000
si2_b03m_m800.06 4 100000000
si2_b03m_m800.05 4 100000000
si2_b03m_m800.01 4 100000000
si2_b03m_m800.08 4 100000000
si2_b03m_m800.07 4 100000000
si2_b03m_m800.00 4 100000000
si2_r001_m200.06 7 1000004
si2_r001_m200.01 7 1000003
si2_r001_m200.02 7 1000003
si2_r001_m200.07 7 1000003
si2_r001_m200.04 7 1000003
si2_r001_m200.05 7 1000004
si2_r001_m200.09 7 1000004
si2_r001_m200.03 7 1000004
si2_r001_m200.00 7 1000004
si2_r001_m200.08 7 1000004
si6_b03m_m800.01 4 100000000
si6_b03m_m800.08 4 100000000
si6_b03m_m800.03 4 100000000
si6_b03m_m800.00 4 100000000
si6_b03m_m800.04 4 100000000
si6_b03m_m800.05 4 100000000
si6_b03m_m800.07 4 100000000
si6_b03m_m800.06 4 100000000
si6_b03m_m800.09 4 100000000
si6_b03m_m800.02 4 100000000
si4_r005_m200.00 7 1000010
si4_r005_m200.08 7 1000009
si4_r005_m200.02 7 1000009
si4_r005_m200.05 7 1000011
si4_r005_m200.06 7 1000009
si4_r005_m200.04 7 1000010
