instance family mcis-fc-induced
si4_b03_m800.03 3 1e8
si4_b03_m800.02 3 1e8
si4_b03_m800.04 3 1e8
si4_b03_m800.01 3 1e8
si4_b03_m800.06 3 1e8
si4_b03_m800.07 3 1e8
si6_m4D_m1296.02 5 1e8
si6_m4D_m1296.07 5 1e8
si6_m4D_m1296.05 5 1e8
si6_m4D_m1296.09 5 1e8
si6_m4D_m1296.00 5 1e8
si6_m4D_m1296.08 5 1e8
si6_m4D_m1296.04 5 1e8
si6_m4D_m1296.06 5 1e8
si6_m4D_m1296.01 5 1e8
si6_m4D_m1296.03 5 1e8
si6_r001_m200.05 7 1000.000122
si6_r001_m200.09 7 1000.000122
si6_r001_m200.07 7 1000.000122
si6_r001_m200.02 7 1000.000122
si6_r001_m200.01 7 1000.000122
si6_r001_m200.00 7 1000.000122
si6_r001_m200.04 7 1000.000122
si6_r001_m200.06 7 1000.000122
si6_r001_m200.08 7 1000.000122
si6_r001_m200.03 7 1000.000122
si4_b06_m400.06 3 166.922592
si4_b06_m400.07 3 149.896851
si4_b06_m400.09 3 165.505875
si4_b06_m400.01 3 164.719574
si4_b06_m400.04 3 195.490692
si4_b06_m400.03 3 134.991837
si4_b06_m400.00 3 111.568916
si4_b06_m400.05 3 113.943367
si4_b06_m400.08 3 152.384003
si4_b06_m400.02 3 167.671890
si2_m4Dr6_m256.06 6 1000.000061
si2_m4Dr6_m256.05 6 1000.000061
si2_m4Dr6_m256.09 6 1000.000061
si2_m4Dr6_m256.00 6 1000.000061
si2_m4Dr6_m256.07 6 526.045227
si2_m4Dr6_m256.04 6 1000.000061
si2_m4Dr6_m256.02 6 1000.000061
si2_m4Dr6_m256.01 6 10.258945
si2_m4Dr6_m256.08 6 12.077070
si2_m4Dr6_m256.03 6 1000.000061
si6_r01_m200.04 7 1000.000000
si6_r01_m200.08 7 1000.000061
si6_r01_m200.02 7 1000.000000
si6_r01_m200.09 7 1000.000061
si6_r01_m200.07 7 1000.000061
si6_r01_m200.00 7 1000.000061
si6_r01_m200.01 7 1000.000061
si6_r01_m200.03 7 1000.000061
si6_r01_m200.05 7 1000.000061
si6_r01_m200.06 7 1000.000061
si2_b03m_m800.03 4 1000.000549
si2_b03m_m800.02 4 1000.000732
si2_b03m_m800.09 4 1000.000305
si2_b03m_m800.04 4 1000.000549
si2_b03m_m800.06 4 1000.000366
si2_b03m_m800.05 4 1000.000549
si2_b03m_m800.01 4 1000.000427
si2_b03m_m800.08 4 1000.000549
si2_b03m_m800.07 4 1000.000488
si2_b03m_m800.00 4 1000.000366
si2_r001_m200.06 7 15.698606
si2_r001_m200.01 7 146.499908
si2_r001_m200.02 7 27.513920
si2_r001_m200.07 7 192.341370
si2_r001_m200.04 7 1000.000061
si2_r001_m200.05 7 147.130295
si2_r001_m200.09 7 1000.000000
si2_r001_m200.03 7 33.854561
si2_r001_m200.00 7 1.212958
si2_r001_m200.08 7 1000.000000
si6_b03m_m800.01 4 1e8
si6_b03m_m800.08 4 1e8
si6_b03m_m800.03 4 1e8
si6_b03m_m800.00 4 1e8
si6_b03m_m800.04 4 1e8
si6_b03m_m800.05 4 1e8
si6_b03m_m800.07 4 1e8
si6_b03m_m800.06 4 1e8
si6_b03m_m800.09 4 1e8
si6_b03m_m800.02 4 1e8
si4_r005_m200.00 7 1000.000061
si4_r005_m200.08 7 1000.000061
si4_r005_m200.02 7 1000.000061
si4_r005_m200.05 7 1000.000061
si4_r005_m200.06 7 1000.000061
si4_r005_m200.04 7 1000.000061
si4_r005_m200.07 7 1000.000061
si4_r005_m200.09 7 1000.000061
si4_r005_m200.01 7 1000.000061
si4_r005_m200.03 7 1000.000061
si6_b09m_m400.03 4 353.077179
si6_b09m_m400.07 4 209.535278
si6_b09m_m400.00 4 205.987076
si6_b09m_m400.04 4 211.869263
