instance clique cp-fc cp-mac james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32
mcs10_b03_s90_AB02 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03_s90_AB03 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03_s90_AB04 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03_s90_AB05 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03_s90_AB06 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03_s90_AB07 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03_s90_AB08 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03_s90_AB09 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s100_AB00 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000004 1000002
mcs10_b03m_s100_AB01 16699 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1270 1234
mcs10_b03m_s100_AB02 424604 1000.000000 1000.000061 1000000 1000000 1000000 1000000 118351 114836
mcs10_b03m_s100_AB03 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000007 1000002
mcs10_b03m_s100_AB04 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03m_s100_AB05 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000001 536195
mcs10_b03m_s100_AB06 9796 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1064 887
mcs10_b03m_s100_AB07 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 99621 88426
mcs10_b03m_s100_AB08 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000001 1000012
mcs10_b03m_s100_AB09 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000001 1000011
mcs10_b03m_s40_AB00 1796 39.847225 14.203979 1180 1567 407 527 142 104
mcs10_b03m_s40_AB01 72 14.201810 8.520242 835 972 177 203 19 28
mcs10_b03m_s40_AB02 1525 49.882313 51.780132 4604 3372 3811 2938 128 94
mcs10_b03m_s40_AB03 25 51.100334 37.520702 6313 3728 3584 1854 12 13
mcs10_b03m_s40_AB04 1370 84.643250 30.859512 3527 4302 2304 2709 111 78
mcs10_b03m_s40_AB05 159 6.578255 4.450611 1702 2201 454 545 24 24
mcs10_b03m_s40_AB06 1042 89.566628 62.898544 3681 4857 3049 3863 86 67
mcs10_b03m_s40_AB07 1204 5.153323 0.216778 199 195 215 213 105 77
mcs10_b03m_s40_AB08 38 22.506449 8.306268 288 314 444 474 20 18
mcs10_b03m_s40_AB09 5481 95.034721 53.406902 6905 8484 3895 4704 392 270
mcs10_b03m_s50_AB00 182898 1000.000000 1000.000000 79306 93292 27839 31612 10994 7759
mcs10_b03m_s50_AB01 508314 1000.000000 1000.000000 118972 140505 41456 47963 30950 22134
mcs10_b03m_s50_AB02 978581 1000.000000 1000.000000 539498 518815 518133 496501 62638 45047
mcs10_b03m_s50_AB03 1000000 1000.000000 1000.000000 182045 101958 239946 264762 90092 73156
mcs10_b03m_s50_AB04 35389 1000.000000 1000.000000 87572 90620 47413 52277 4950 1240
mcs10_b03m_s50_AB05 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 77489 57005
mcs10_b03m_s50_AB06 23028 1000.000000 1000.000000 12756 13937 5141 5800 471 260
mcs10_b03m_s50_AB07 527012 1000.000000 1000.000000 222722 242938 107643 121991 36772 28090
mcs10_b03m_s50_AB08 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000001 1000001 1000003
mcs10_b03m_s50_AB09 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 107364 74767
mcs10_b03m_s60_AB00 3908 1000.000000 1000.000000 98367 136558 33771 44981 294 198
mcs10_b03m_s60_AB01 88 1000.000000 1000.000000 219836 280714 38742 52078 26 28
mcs10_b03m_s60_AB02 38492 467.552826 331.136719 3592 4088 1960 2088 8695 4291
mcs10_b03m_s60_AB03 34591 972.146790 846.458191 5845 8315 5358 5412 2526 1829
mcs10_b03m_s60_AB04 47868 1000.000000 1000.000000 31343 39265 30163 35432 3457 2506
mcs10_b03m_s60_AB05 41180 453.558197 404.642456 29999 40115 9557 11869 2753 1816
mcs10_b03m_s60_AB06 4661 1000.000000 1000.000000 181380 119262 135114 98134 526 345
mcs10_b03m_s60_AB07 250 876.223755 447.319885 39603 53545 23044 32243 36 40
mcs10_b03m_s60_AB08 6379 1000.000000 1000.000000 41495 15133 10301 11626 555 409
mcs10_b03m_s60_AB09 19249 1000.000000 1000.000000 76907 54314 117887 102391 1683 1673
mcs10_b03m_s70_AB00 1000000 1000.000000 1000.000000 261839 338477 248135 315229 68312 48369
mcs10_b03m_s70_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000002
mcs10_b03m_s70_AB02 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 813954 774767
mcs10_b03m_s70_AB03 82994 1000.000000 1000.000000 1000000 1000000 1000000 1000000 8627 6605
mcs10_b03m_s70_AB04 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 444264 337847
mcs10_b03m_s70_AB05 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 241213 156152
mcs10_b03m_s70_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000015
mcs10_b03m_s70_AB07 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000002
mcs10_b03m_s70_AB08 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000005
mcs10_b03m_s70_AB09 614818 1000.000000 1000.000000 1000000 1000000 1000000 1000000 30679 22821
mcs10_b03m_s80_AB00 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03m_s80_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000002
mcs10_b03m_s80_AB02 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s80_AB03 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03m_s80_AB04 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s80_AB05 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03m_s80_AB06 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000001 1000002
