instance clique cp-fc cp-mac james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32
mcs10_b03_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB01 11409419 NaN NaN NaN NaN NaN NaN 12007827 12985627
mcs10_b03m_s100_AB02 694054833 NaN NaN NaN NaN NaN NaN 664301665 681052178
mcs10_b03m_s100_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB05 NaN NaN NaN NaN NaN NaN NaN NaN 10444202096
mcs10_b03m_s100_AB06 6889392 NaN NaN NaN NaN NaN NaN 8351083 8952140
mcs10_b03m_s100_AB07 NaN NaN NaN NaN NaN NaN NaN 1098980755 1311260392
mcs10_b03m_s100_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s100_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s40_AB00 4203725 16060747.000000 3955175.000000 6420588 8111212 2159283 2546392 3922353 3879594
mcs10_b03m_s40_AB01 121857 5036115.000000 2465216.000000 5026416 5639895 1057858 1149263 121540 133262
mcs10_b03m_s40_AB02 3052179 27743333.000000 19698706.000000 40089318 31374438 37417565 28851170 3011224 3026891
mcs10_b03m_s40_AB03 26079 18306025.000000 10725278.000000 41301365 21333445 22091157 9090413 20129 19675
mcs10_b03m_s40_AB04 2426195 35796274.000000 8294538.000000 21606867 25318023 12597286 14409475 2293490 2303016
mcs10_b03m_s40_AB05 260023 2236959.000000 1232711.000000 9358425 11652466 2537858 2885132 265610 261204
mcs10_b03m_s40_AB06 2551541 30165413.000000 16579962.000000 19568929 23778536 16167271 19447313 2298427 2316214
mcs10_b03m_s40_AB07 7447799 2470402.000000 46328.000000 1383863 1335231 1531209 1505936 6509087 6488605
mcs10_b03m_s40_AB08 96282 9638850.000000 2434802.000000 1651142 1625103 2369591 2293524 144979 122781
mcs10_b03m_s40_AB09 16853315 38144973.000000 13735714.000000 42702397 50647584 21111532 24463291 14844646 14842713
mcs10_b03m_s50_AB00 351408696 NaN NaN 473674650 531636851 136138055 158117234 297991249 282542288
mcs10_b03m_s50_AB01 995142514 NaN NaN 683629819 780389352 199615723 218517404 867293842 893124582
mcs10_b03m_s50_AB02 1577295852 NaN NaN 3524658077 3326403907 3257505507 3101018419 1539013490 1539417921
mcs10_b03m_s50_AB03 NaN NaN NaN 1076982253 423559621 1056036459 1119186543 2745924595 3245390893
mcs10_b03m_s50_AB04 59560182 NaN NaN 498248717 476675209 238868834 241256713 112278409 32988512
mcs10_b03m_s50_AB05 NaN NaN NaN NaN NaN NaN NaN 2828249953 2828271817
mcs10_b03m_s50_AB06 53605473 NaN NaN 69105980 73345207 23735385 25373997 10021301 6910109
mcs10_b03m_s50_AB07 780015000 NaN NaN 1267048065 1313196664 630747732 692154835 822917105 922757568
mcs10_b03m_s50_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB09 NaN NaN NaN NaN NaN NaN NaN 2897887547 2654616215
mcs10_b03m_s60_AB00 6416768 NaN NaN 423963791 561525842 130449885 164892732 6477747 6494830
mcs10_b03m_s60_AB01 71322 NaN NaN 1027089084 1270368009 134578912 172306546 126826 119567
mcs10_b03m_s60_AB02 102799086 147169749.000000 80057658.000000 13361308 14066195 7154324 5831686 253917126 149865411
mcs10_b03m_s60_AB03 84864730 266368589.000000 207797570.000000 21004536 28512695 22668871 16559978 85166544 85358534
mcs10_b03m_s60_AB04 64784832 NaN NaN 139509579 161194157 132618133 134155464 69046033 73640439
mcs10_b03m_s60_AB05 62698811 110004305.000000 91330511.000000 129412771 163369544 40371904 44967228 60525605 60667418
mcs10_b03m_s60_AB06 12563630 NaN NaN 1031652754 502243661 667186208 388967508 18592772 17057584
mcs10_b03m_s60_AB07 229626 267843087.000000 106976039.000000 169513677 219933893 85688438 113167707 206822 208662
mcs10_b03m_s60_AB08 10464485 NaN NaN 234192180 62011821 39586034 38822413 10652672 10954090
mcs10_b03m_s60_AB09 29526995 NaN NaN 555870429 315503127 829945397 667093832 34816883 58802236
mcs10_b03m_s70_AB00 NaN NaN NaN 974398646 1113235496 976295481 1152641567 1272962062 1218795947
mcs10_b03m_s70_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s70_AB02 NaN NaN NaN NaN NaN NaN NaN 11038772183 15729897334
mcs10_b03m_s70_AB03 80167074 NaN NaN NaN NaN NaN NaN 124586976 132603805
mcs10_b03m_s70_AB04 NaN NaN NaN NaN NaN NaN NaN 12583090559 12535300310
mcs10_b03m_s70_AB05 NaN NaN NaN NaN NaN NaN NaN 4288797587 3859055569
mcs10_b03m_s70_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s70_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s70_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s70_AB09 860332231 NaN NaN NaN NaN NaN NaN 575512489 576761845
mcs10_b03m_s80_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB07 NaN NaN NaN NaN NaN NaN NaN NaN 13301340973
mcs10_b03m_s80_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s80_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s100_AB00 225628557 NaN NaN NaN NaN NaN NaN 228368473 231386195
mcs10_b06_s100_AB01 222832796 NaN NaN NaN NaN NaN NaN 218052429 218194229
mcs10_b06_s100_AB02 6122132 NaN NaN NaN NaN NaN NaN 6197145 6446154
mcs10_b06_s100_AB03 583882116 NaN NaN NaN NaN NaN NaN 578401078 586506243
mcs10_b06_s100_AB04 3168407 NaN NaN NaN NaN NaN NaN 3438476 3517295
mcs10_b06_s100_AB05 369812522 NaN NaN NaN NaN NaN NaN 485726254 630224350
mcs10_b06_s100_AB06 6681696 NaN NaN NaN NaN NaN NaN 11154498 15941888
mcs10_b06_s100_AB07 288880819 NaN NaN NaN NaN NaN NaN 242686375 193612519
mcs10_b06_s100_AB08 323516250 NaN NaN NaN NaN NaN NaN 325598055 331675890
mcs10_b06_s100_AB09 6061489 NaN NaN NaN NaN NaN NaN 8751711 7576939
mcs10_b06_s70_AB00 2359270 NaN NaN NaN NaN 1809253835 NaN 3188160 4489941
mcs10_b06_s70_AB01 2351764 NaN NaN 313277896 341526108 175160337 269943110 2194593 2203881
mcs10_b06_s70_AB02 13693614 NaN NaN 2810587702 NaN NaN NaN 14803461 13742837
mcs10_b06_s70_AB03 1382176 NaN NaN 273796493 459272887 160768797 250704084 1396650 1404704
mcs10_b06_s70_AB04 3286317 NaN NaN 1211581667 1931980634 580287781 908535575 3249395 3268146
mcs10_b06_s70_AB05 6023019 NaN NaN 1119049277 1453656935 687916089 918331599 7347971 11239695
mcs10_b06_s70_AB06 18341394 NaN NaN 2169087691 3119177439 736470153 1077162305 18672901 18764604
mcs10_b06_s70_AB07 3300490 NaN NaN 470753879 700541870 272880849 420490259 3426312 3804738
mcs10_b06_s70_AB08 30350348 NaN NaN 1202511750 1754817413 869511887 1310222082 65541828 53729143
mcs10_b06_s70_AB09 14828006 NaN NaN 1260441142 1824653101 865077155 1315251133 15529980 16085543
mcs10_b06_s80_AB00 413183827 NaN NaN NaN NaN NaN NaN 324331229 324257162
mcs10_b06_s80_AB01 NaN NaN NaN NaN NaN NaN NaN 591418726 589538378
mcs10_b06_s80_AB02 349355479 NaN NaN NaN NaN 522489491 713727451 258530515 366013840
mcs10_b06_s80_AB03 852765523 NaN NaN NaN NaN 2026000058 NaN 1001697509 1172077314
mcs10_b06_s80_AB04 532521136 NaN NaN NaN NaN NaN NaN 475347095 637614417
mcs10_b06_s80_AB05 299347569 NaN NaN NaN NaN NaN NaN 270475803 278234012
mcs10_b06_s80_AB06 NaN NaN NaN NaN NaN NaN NaN 815439818 897608645
mcs10_b06_s80_AB07 NaN NaN NaN NaN NaN NaN NaN 2922420463 2925777086
mcs10_b06_s80_AB08 123055139 NaN NaN NaN NaN 1693720435 2258563568 159398904 204843752
mcs10_b06_s80_AB09 86476814 NaN NaN NaN NaN NaN NaN 87538086 90692694
mcs10_b06_s90_AB00 227596819 NaN NaN NaN NaN NaN NaN 227922761 228360411
mcs10_b06_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB04 NaN NaN NaN NaN NaN NaN NaN 7794779402 7795046028
mcs10_b06_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s100_AB00 9037932 NaN NaN 2009449029 NaN 1097919496 1764529079 15731130 14168731
mcs10_b06m_s100_AB01 344055358 NaN NaN NaN NaN NaN NaN 321048453 332649551
mcs10_b06m_s100_AB02 13206714 NaN NaN NaN NaN NaN NaN 17132751 21721805
mcs10_b06m_s100_AB03 65793425 NaN NaN NaN NaN NaN NaN 50959102 50866666
mcs10_b06m_s100_AB04 54384320 NaN NaN NaN NaN NaN NaN 63542282 92279370
mcs10_b06m_s100_AB05 165213143 NaN NaN NaN NaN NaN NaN 153132365 153736472
mcs10_b06m_s100_AB06 581306395 NaN NaN NaN NaN NaN NaN 342007608 371650372
mcs10_b06m_s100_AB07 86716091 NaN NaN NaN NaN NaN NaN 64208799 79629629
mcs10_b06m_s100_AB08 714126354 NaN NaN NaN NaN NaN NaN 595643480 636408186
mcs10_b06m_s100_AB09 68354888 NaN NaN NaN NaN NaN NaN 140387958 107442813
mcs10_b06m_s70_AB00 6693176 NaN NaN 925102573 1278111704 567569084 823283278 9517752 12975901
mcs10_b06m_s70_AB01 12029533 NaN NaN 444757181 431724639 322286234 256789188 11860780 11873630
mcs10_b06m_s70_AB02 45238080 NaN NaN 2150327287 NaN 910237763 1424497279 69730833 82280499
mcs10_b06m_s70_AB03 24421213 NaN NaN 2001781003 2905832176 846882104 1121805569 24378781 24396282
mcs10_b06m_s70_AB04 22023429 NaN NaN 1772541751 2833959903 634989451 991018245 16556981 16789507
mcs10_b06m_s70_AB05 4673075 NaN NaN 1186451812 1176765051 760741814 1093501179 3703048 4081206
mcs10_b06m_s70_AB06 15804627 NaN NaN 2611022145 NaN 765379562 1221883043 16146878 24990493
mcs10_b06m_s70_AB07 39449646 NaN NaN 3339231617 NaN 2223874681 NaN 50458504 75313688
mcs10_b06m_s70_AB08 36633117 NaN NaN 1136105016 1430671236 498837312 675806672 32357022 31710676
mcs10_b06m_s70_AB09 22303551 NaN NaN 3458219297 NaN 2222889309 3214779462 22327437 22351407
mcs10_b06m_s80_AB00 292056902 NaN NaN NaN NaN NaN NaN 292877899 293415211
mcs10_b06m_s80_AB01 119943912 NaN NaN NaN NaN NaN NaN 100750545 111974332
mcs10_b06m_s80_AB02 NaN NaN NaN NaN NaN NaN NaN 1744556245 1752071057
mcs10_b06m_s80_AB03 39129582 NaN NaN 2534605377 3255129165 668976530 748293700 67299669 53274666
mcs10_b06m_s80_AB04 19680790 NaN NaN NaN NaN 2184999601 NaN 17069583 20362663
mcs10_b06m_s80_AB05 NaN NaN NaN NaN NaN NaN NaN 4150948924 4151795572
mcs10_b06m_s80_AB06 99938085 NaN NaN NaN NaN NaN NaN 109532478 118121719
mcs10_b06m_s80_AB07 NaN NaN NaN NaN NaN NaN NaN 2575718453 2447179914
mcs10_b06m_s80_AB08 500381343 NaN NaN NaN NaN NaN NaN 1675622087 1966619303
mcs10_b06m_s80_AB09 140096440 NaN NaN NaN NaN NaN NaN 270025931 171343920
mcs10_b06m_s90_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN
