instance clique cp-fc cp-mac kdown james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t32
mcs10_m2D_s40_AB08 NaN NaN NaN 34887468 93347540 109357527 85003812 99245192 NaN NaN 38038582 33970109 106659929
mcs10_m2D_s40_AB09 NaN NaN NaN 34919332 312969138 363362664 284741811 329803767 NaN NaN 97131334 84159861 171313038
mcs10_m2D_s50_AB00 NaN NaN NaN 17129399 NaN NaN NaN NaN NaN NaN NaN NaN 155240883
mcs10_m2D_s50_AB01 NaN NaN NaN 24824424 NaN NaN NaN NaN NaN NaN NaN 2671431233 173941558
mcs10_m2D_s50_AB02 NaN NaN NaN 25316681 NaN NaN NaN NaN NaN NaN NaN NaN 115494075
mcs10_m2D_s50_AB03 NaN NaN NaN 17974953 NaN NaN NaN NaN NaN NaN 1353453845 1129250115 192737666
mcs10_m2D_s50_AB04 NaN NaN NaN 17380751 NaN NaN NaN NaN NaN NaN 2170436095 1790968779 144986704
mcs10_m2D_s50_AB05 NaN NaN NaN 16882823 NaN NaN NaN NaN NaN NaN NaN 1769500725 165315553
mcs10_m2D_s50_AB06 NaN NaN NaN 17886311 NaN NaN NaN NaN NaN NaN 1055669362 928806245 176244387
mcs10_m2D_s50_AB07 NaN NaN NaN 19278019 NaN NaN NaN NaN NaN NaN 2567154727 2075052974 157472031
mcs10_m2D_s50_AB08 NaN NaN NaN 20727793 NaN NaN NaN NaN NaN NaN 1900605342 1868199045 180555721
mcs10_m2D_s50_AB09 NaN NaN NaN 23745214 NaN NaN NaN NaN NaN NaN NaN NaN 137390216
mcs10_m2Dr4_s40_AB00 NaN NaN NaN 32830715 560215689 413838367 498590959 359885335 NaN NaN 88379214 80663273 244555828
mcs10_m2Dr4_s40_AB01 NaN NaN NaN 29392654 525097231 357590098 475087449 323672077 NaN NaN 98771431 84952490 176896469
mcs10_m2Dr4_s40_AB02 NaN NaN NaN 29919067 2785693186 3476853833 2511015299 3131379442 NaN NaN 568236948 490477568 274356300
mcs10_m2Dr4_s40_AB03 NaN NaN NaN 36114244 532098860 663272630 475876992 591420397 NaN NaN 150082922 133918523 270055322
mcs10_m2Dr4_s40_AB04 NaN NaN NaN 32884522 1085721193 1353588854 984317212 1222459413 NaN NaN 284827766 240486919 171183266
mcs10_m2Dr4_s40_AB05 NaN NaN NaN 28416707 528939032 670274908 476568108 604301902 NaN NaN 182841903 171339070 168638554
mcs10_m2Dr4_s40_AB06 NaN NaN NaN 36589624 3688423041 NaN 3360870915 NaN NaN NaN 889151956 832719508 262699952
mcs10_m2Dr4_s40_AB07 NaN NaN NaN 35726387 921069086 1162582457 834873402 1051763860 NaN NaN 230280564 182831311 233713626
mcs10_m2Dr4_s40_AB08 NaN NaN NaN 25529946 475689724 580300889 441949462 538729400 NaN NaN 164893548 158661574 257853589
mcs10_m2Dr4_s40_AB09 NaN NaN NaN 34615868 667451610 826945173 610257003 753486920 NaN NaN 173318429 147450258 231189231
mcs10_m2Dr4_s50_AB00 NaN NaN NaN 25416072 NaN NaN NaN NaN NaN NaN NaN NaN 158674031
mcs10_m2Dr4_s50_AB01 NaN NaN NaN 21789847 NaN NaN NaN NaN NaN NaN NaN NaN 207647012
mcs10_m2Dr4_s50_AB02 NaN NaN NaN 20813293 NaN NaN NaN NaN NaN NaN NaN NaN 212392604
mcs10_m2Dr4_s50_AB03 NaN NaN NaN 25056520 NaN NaN NaN NaN NaN NaN NaN NaN 172652217
mcs10_m2Dr4_s50_AB04 NaN NaN NaN 25548315 NaN NaN NaN NaN NaN NaN NaN NaN 170542610
mcs10_m2Dr4_s50_AB05 NaN NaN NaN 24993158 NaN NaN NaN NaN NaN NaN NaN NaN 146202853
mcs10_m2Dr4_s50_AB06 NaN NaN NaN 28382958 NaN NaN NaN NaN NaN NaN NaN NaN 230369778
mcs10_m2Dr4_s50_AB07 NaN NaN NaN 23257368 NaN NaN NaN NaN NaN NaN NaN NaN 214466050
mcs10_m2Dr4_s50_AB08 NaN NaN NaN 24773021 NaN NaN NaN NaN NaN NaN NaN NaN 208368216
mcs10_m2Dr4_s50_AB09 NaN NaN NaN 24822957 NaN NaN NaN NaN NaN NaN NaN NaN 143559664
mcs10_m2Dr6_s40_AB00 NaN NaN NaN 36352085 2563850464 3216537981 2313642846 2895287525 NaN NaN 646204579 569012248 254603379
mcs10_m2Dr6_s40_AB01 NaN NaN NaN 36818943 2454748477 3153259899 2165553558 2777390963 NaN NaN 581889989 475928056 317360548
mcs10_m2Dr6_s40_AB02 NaN NaN NaN 35543623 NaN NaN NaN NaN NaN NaN 2911334791 2866371818 201282388
mcs10_m2Dr6_s40_AB03 NaN NaN NaN 37911935 1639342732 2129988145 1429128462 1850248252 NaN NaN 406917100 404117560 269186304
mcs10_m2Dr6_s40_AB04 NaN NaN NaN 35268627 2938002541 NaN 2638047740 3357602687 NaN NaN 546065275 460951517 286431816
mcs10_m2Dr6_s40_AB05 NaN NaN NaN 34537055 1182246192 1510328997 1057885025 1348042082 NaN NaN 347811046 323830134 244945030
mcs10_m2Dr6_s40_AB06 NaN NaN NaN 32515778 777421681 975506089 698220766 875324674 NaN NaN 262983521 262447301 172267607
