instance clique cp-fc cp-mac kdown james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t32
mcs10_m2D_s40_AB06 1000000 1000.000000 1000.000122 1000000 68595 42451 67990 41124 1000003 1000005 22914 19360 339916
mcs10_m2D_s40_AB07 1000000 1000.000000 1000.000366 1000000 47803 57747 47099 56427 1000003 1000005 22144 19753 779659
mcs10_m2D_s40_AB08 1000000 1000.000000 1000.000000 1000000 24963 29453 23459 27936 1000003 1000005 11684 9959 680044
mcs10_m2D_s40_AB09 1000000 1000.000000 1000.000000 1000000 77965 93146 73222 85887 1000004 1000005 39093 32864 1000007
mcs10_m2D_s50_AB00 1000001 1000.000061 1000.001160 1000000 1000000 1000000 1000000 1000000 1000004 1000005 1000000 1000001 1000017
mcs10_m2D_s50_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 951146 1000002
mcs10_m2D_s50_AB02 1000001 1000.000061 1000.000427 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000003
mcs10_m2D_s50_AB03 1000001 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000000 1000005 1000006 534704 439005 1000007
mcs10_m2D_s50_AB04 1000001 1000.000000 1000.000427 1000000 1000000 1000000 1000000 1000000 1000004 1000007 898083 671998 1000009
mcs10_m2D_s50_AB05 1000001 1000.000061 1000.000732 1000000 1000000 1000000 1000000 1000000 1000005 1000007 1000001 618884 1000004
mcs10_m2D_s50_AB06 1000001 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000005 1000005 384675 310041 1000011
mcs10_m2D_s50_AB07 1000001 1000.000000 1000.000549 1000000 1000000 1000000 1000000 1000000 1000005 1000005 970008 660633 1000010
mcs10_m2D_s50_AB08 1000001 1000.000000 1000.001343 1000000 1000000 1000000 1000000 1000000 1000004 1000005 735798 688716 1000014
mcs10_m2D_s50_AB09 1000001 1000.000000 1000.001282 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000001 1000002 1000005
mcs10_m2Dr4_s40_AB00 1000000 1000.000000 1000.000122 1000000 149653 115248 137994 104508 1000003 1000005 32609 28242 1000005
mcs10_m2Dr4_s40_AB01 1000000 1000.000000 1000.000244 1000000 137885 96414 127247 91037 1000003 1000004 42766 35165 1000008
mcs10_m2Dr4_s40_AB02 1000000 1000.000000 1000.000000 1000000 742661 936227 685290 877115 1000004 1000004 248217 184272 1000006
mcs10_m2Dr4_s40_AB03 1000001 1000.000000 1000.000061 1000001 144570 186683 134853 170292 1000004 1000005 53633 47006 1000006
mcs10_m2Dr4_s40_AB04 1000000 1000.000000 1000.000183 1000000 290964 370974 273961 356949 1000004 1000005 112543 81644 1000006
mcs10_m2Dr4_s40_AB05 1000000 1000.000000 1000.000122 1000000 143980 188394 135804 176836 1000003 1000005 77534 66051 1000009
mcs10_m2Dr4_s40_AB06 1000000 1000.000000 1000.000366 1000001 933465 1000000 883861 1000000 1000003 1000005 353023 274680 1000006
mcs10_m2Dr4_s40_AB07 1000001 1000.000000 1000.000000 1000000 255380 327902 244679 314438 1000004 1000005 92199 64714 1000007
mcs10_m2Dr4_s40_AB08 1000000 1000.000000 1000.000427 1000000 127460 155978 122069 149934 1000003 1000004 50735 48382 1000003
mcs10_m2Dr4_s40_AB09 1000000 1000.000000 1000.000427 1000000 180305 228103 170347 215955 1000003 1000005 72564 52133 1000009
mcs10_m2Dr4_s50_AB00 1000000 1000.000061 1000.001526 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000001 1000001 1000002
mcs10_m2Dr4_s50_AB01 1000000 1000.000000 1000.000427 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000003
mcs10_m2Dr4_s50_AB02 1000001 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000001 1000001 1000008
mcs10_m2Dr4_s50_AB03 1000000 1000.000000 1000.000916 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000001 1000001 1000011
mcs10_m2Dr4_s50_AB04 1000001 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000009
mcs10_m2Dr4_s50_AB05 1000000 1000.000000 1000.000488 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000001 1000001 1000003
mcs10_m2Dr4_s50_AB06 1000001 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000007
mcs10_m2Dr4_s50_AB07 1000001 1000.000000 1000.000854 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000005
mcs10_m2Dr4_s50_AB08 1000001 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000004 1000007 1000000 1000001 1000011
mcs10_m2Dr4_s50_AB09 1000000 1000.000061 1000.000793 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000002
mcs10_m2Dr6_s40_AB00 1000000 1000.000000 1000.000916 1000000 688254 887285 647907 819781 1000004 1000004 266606 220456 1000004
mcs10_m2Dr6_s40_AB01 1000000 1000.000000 1000.000000 1000000 675996 888865 623882 817498 1000003 1000004 268455 197451 1000006
mcs10_m2Dr6_s40_AB02 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000004 1000005 869454 801350 1000003
mcs10_m2Dr6_s40_AB03 1000000 1000.000000 1000.000183 1000000 459199 612965 414327 552183 1000003 1000005 161918 142239 1000003
mcs10_m2Dr6_s40_AB04 1000000 1000.000000 1000.000305 1000000 816652 1000000 759278 996247 1000003 1000004 254591 208516 1000006
mcs10_m2Dr6_s40_AB05 1000000 1000.000000 1000.000122 1000000 324773 423073 301266 400741 1000003 1000005 123667 111117 1000003
mcs10_m2Dr6_s40_AB06 1000000 1000.000000 1000.000183 1000000 212941 274447 198027 255742 1000003 1000004 92440 84105 1000002
mcs10_m2Dr6_s40_AB07 1000000 1000.000000 1000.000244 1000000 247024 297840 229683 274699 1000003 1000004 95644 81975 1000003
mcs10_m2Dr6_s40_AB08 1000001 1000.000000 1000.000549 1000000 1000000 1000000 1000000 1000000 1000003 1000005 1000001 812344 1000005
mcs10_m2Dr6_s40_AB09 1000000 1000.000000 1000.000427 1000000 273785 360423 255600 338053 1000003 1000004 121820 105094 1000002
mcs10_m2Dr6_s50_AB00 1000001 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000001 1000001 1000002
mcs10_m2Dr6_s50_AB01 1000001 1000.000000 1000.000610 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000009
mcs10_m2Dr6_s50_AB02 1000001 1000.000000 1000.000122 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000007
mcs10_m2Dr6_s50_AB03 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000012
mcs10_m2Dr6_s50_AB04 1000000 1000.000000 1000.000244 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000009
mcs10_m2Dr6_s50_AB05 1000000 1000.000000 1000.000366 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000010
mcs10_m2Dr6_s50_AB06 1000001 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000009
mcs10_m2Dr6_s50_AB07 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000006
mcs10_m2Dr6_s50_AB08 1000001 1000.000061 1000.000244 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000002 1000008
mcs10_m2Dr6_s50_AB09 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000005 1000005 1000000 1000001 1000002
mcs10_r005_s20_AB00 44 0.194882 0.337915 91 0 0 0 0 32 28 3 6 24
mcs10_r005_s20_AB01 60 0.037320 0.094831 1079 2 1 2 1 32 33 3 7 43
mcs10_r005_s20_AB02 33 0.135324 0.200058 341 1 1 1 2 28 29 4 6 28
mcs10_r005_s20_AB03 150 0.131037 0.345563 71 2 2 2 2 32 33 5 7 15
mcs10_r005_s20_AB04 45 0.110289 0.226509 128 1 1 1 0 28 32 3 6 26
mcs10_r005_s20_AB05 55 0.589935 1.050071 2331 17 13 17 13 30 36 6 11 306
mcs10_r005_s20_AB06 47 0.089756 0.163173 65 0 0 0 0 31 30 2 4 29
mcs10_r005_s20_AB07 97 0.082946 0.195636 376 2 2 1 2 30 32 4 8 29
mcs10_r005_s20_AB08 69 0.971162 2.288941 729 10 11 10 10 32 36 6 8 58
mcs10_r005_s20_AB09 87 0.344275 1.494050 374 9 9 9 9 35 37 4 8 43
mcs10_r005_s25_AB00 1244 112.188873 128.148987 37377 171 185 167 209 137 137 67 75 3059
mcs10_r005_s25_AB01 1336 0.675072 2.993100 3484 34 7 30 7 146 123 5 11 658
mcs10_r005_s25_AB02 1580 0.325312 1.608573 519 19 5 19 3 174 152 3 8 99
mcs10_r005_s25_AB03 4876 1.775596 9.055708 2208 35 40 38 43 408 277 15 18 685
mcs10_r005_s25_AB04 25050 1.584629 7.808781 1194 22 24 20 23 1685 1355 11 11 207
mcs10_r005_s25_AB05 1589 0.940621 3.601682 1452 5 6 3 3 143 122 4 7 258
mcs10_r005_s25_AB06 11684 1.849310 9.075204 965 19 17 18 17 703 561 9 15 294
mcs10_r005_s25_AB07 491 0.823506 1.734281 480 58 62 56 60 99 98 30 34 131
mcs10_r005_s25_AB08 3519 1.811874 7.766015 38941 33 27 25 25 282 232 8 12 802
mcs10_r005_s25_AB09 6216 4.495426 14.563472 12036 83 42 74 26 392 338 7 11 993
mcs10_r005_s30_AB00 69920 33.432434 122.170525 18018 332 320 381 377 4524 4384 79 80 3055
mcs10_r005_s30_AB01 821517 15.293714 74.538956 27226 680 723 633 710 51835 38961 109 145 3568
mcs10_r005_s30_AB02 86068 45.034203 190.606659 107245 1156 1229 866 1409 5864 4727 245 269 13541
mcs10_r005_s30_AB03 192163 27.735701 170.986511 22185 644 972 579 669 11637 8373 249 224 4513
mcs10_r005_s30_AB04 1000000 50.359871 306.014313 32889 624 903 615 722 109463 87930 212 166 6978
mcs10_r005_s30_AB05 1000000 49.082794 314.763947 20327 447 605 410 561 74504 58736 149 112 3959
mcs10_r005_s30_AB06 855715 45.106216 195.506805 137407 2162 2575 2162 2455 55408 43999 855 766 20177
mcs10_r005_s30_AB07 215967 408.176636 1000.000549 246732 722 580 669 559 14138 10936 119 88 26191
mcs10_r005_s30_AB08 256848 34.036312 125.733208 54914 40 38 61 37 14933 11648 10 12 7422
mcs10_r005_s30_AB09 52441 139.227844 675.709412 803351 338 381 342 384 2709 1789 87 75 20382
mcs10_r005_s35_AB00 1000000 1000.000000 1000.000549 644965 9917 11662 9398 11247 676452 454094 5935 3157 150375
mcs10_r005_s35_AB01 1000000 585.846252 1000.000427 1000000 6414 7721 6198 7347 804328 538795 2047 2045 500374
mcs10_r005_s35_AB02 1000000 1000.000000 1000.000488 1000000 11304 13273 11176 12806 1000003 1000004 3547 2865 134183
mcs10_r005_s35_AB03 1000000 1000.000000 1000.000366 1000000 28580 34955 27273 33092 1000002 1000004 10769 8253 378381
mcs10_r005_s35_AB04 1000000 1000.000000 1000.000061 426916 13289 16092 12799 15652 535646 362054 1997 2267 162458
mcs10_r005_s35_AB05 1000000 150.067444 710.615417 438982 2782 2016 2792 2028 312575 194241 921 924 52884
mcs10_r005_s35_AB06 1000000 1000.000000 1000.000000 614909 8986 9841 8350 9087 1000003 1000004 2570 1926 99276
mcs10_r005_s35_AB07 1000000 1000.000000 1000.000000 1000000 25357 29992 24215 27941 1000003 1000004 8367 7608 318910
mcs10_r005_s35_AB08 1000000 1000.000000 1000.000122 378913 3867 4603 3619 4301 1000002 717401 1122 1023 57546
mcs10_r005_s35_AB09 1000000 1000.000000 1000.000122 277345 3635 4515 3460 4393 1000002 1000004 1047 885 39984
mcs10_r005_s40_AB00 1000000 1000.000000 1000.000244 1000000 223579 287839 207918 263349 1000003 1000004 85647 83265 1000008
mcs10_r005_s40_AB01 1000000 1000.000000 1000.000854 1000000 250305 299398 233513 279225 1000003 1000005 172913 165779 1000002
mcs10_r005_s40_AB02 1000000 1000.000000 1000.000366 1000000 476825 616028 466045 590735 1000004 1000005 233636 165730 1000004
mcs10_r005_s40_AB03 1000000 1000.000000 1000.000610 1000000 188592 233855 178990 220430 1000003 1000005 80311 66995 1000006
mcs10_r005_s40_AB04 1000000 1000.000000 1000.000183 1000000 677466 874462 631449 812201 1000003 1000004 200293 94323 1000006
mcs10_r005_s40_AB05 1000000 1000.000000 1000.000061 1000000 422383 512050 393344 471497 1000004 1000004 177515 137341 1000003
mcs10_r005_s40_AB06 1000000 1000.000000 1000.000305 1000000 222711 277849 208936 268033 1000003 1000006 81770 63329 1000007
mcs10_r005_s40_AB07 1000000 1000.000000 1000.000488 1000000 223686 200507 215376 184332 1000003 1000005 46596 37631 1000002
mcs10_r005_s40_AB08 1000000 1000.000000 1000.000488 1000000 193062 241091 186867 230708 1000004 1000005 97676 86793 1000002
mcs10_r005_s40_AB09 1000000 1000.000000 1000.000183 1000000 308760 385809 287177 358151 1000003 1000005 109234 83770 1000007
mcs10_r005_s50_AB00 1000001 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000007
