instance clique james-cpp-max james-cpp-max-down cp-branching-fc cp-branching-filtering-fc cp-filtering-fc clique-par/t32
mcs10_m2Dr4_s50_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr4_s50_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr4_s50_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr4_s50_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr4_s50_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr4_s50_AB07 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr4_s50_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr4_s50_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB03 NaN 2386584008 2837638486 NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB04 NaN NaN 3040471436 NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB05 NaN 2572852244 2801540234 NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB06 NaN 1840614277 2311607651 NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB07 NaN 3408086224 3151722584 NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s40_AB09 NaN 1617935739 2045083511 NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB07 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2Dr6_s50_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s20_AB00 71700 57213 44310 85282.000000 4056.000000 4051.000000 59197
mcs10_r005_s20_AB01 230686 181358 181615 147413.000000 3898.000000 3840.000000 177897
mcs10_r005_s20_AB02 157968 67119 81122 32602.000000 5438.000000 5432.000000 50737
mcs10_r005_s20_AB03 135952 110349 122770 33977.000000 3950.000000 3943.000000 97698
mcs10_r005_s20_AB04 48754 7320 9251 23317.000000 2215.000000 2214.000000 24493
mcs10_r005_s20_AB05 95610 106551 161325 120863.000000 22294.000000 20839.000000 83551
mcs10_r005_s20_AB06 113756 29146 36100 41563.000000 3923.000000 3964.000000 89376
mcs10_r005_s20_AB07 276407 349221 555657 323173.000000 9198.000000 9089.000000 290954
mcs10_r005_s20_AB08 45116 77787 215115 52346.000000 6976.000000 6976.000000 48609
mcs10_r005_s20_AB09 42483 54910 59880 39820.000000 4701.000000 4716.000000 46096
mcs10_r005_s25_AB00 3626234 4275763 3586870 2199210.000000 175744.000000 176609.000000 5763904
mcs10_r005_s25_AB01 2026944 786155 978079 1095118.000000 89371.000000 89225.000000 1815564
mcs10_r005_s25_AB02 1530821 895179 38585 636538.000000 30798.000000 30778.000000 426846
mcs10_r005_s25_AB03 2107763 2442199 1302019 960638.000000 63702.000000 63686.000000 2134000
mcs10_r005_s25_AB04 3138617 829502 511488 582032.000000 63942.000000 63938.000000 3247200
mcs10_r005_s25_AB05 3893990 788786 270206 415649.000000 31229.000000 31277.000000 4942344
mcs10_r005_s25_AB06 3179253 986816 993698 773939.000000 96013.000000 96020.000000 2491565
mcs10_r005_s25_AB07 1487284 225803 257230 375291.000000 35210.000000 35392.000000 1087194
mcs10_r005_s25_AB08 2784939 1343824 235627 324263.000000 34288.000000 34024.000000 3084728
mcs10_r005_s25_AB09 6372034 2348322 3145204 2887918.000000 127012.000000 126938.000000 6492097
mcs10_r005_s30_AB00 131889072 33544788 7209189 26773948.000000 1397511.000000 1396703.000000 119866740
mcs10_r005_s30_AB01 99876798 7782612 7598009 7172129.000000 1546926.000000 1548868.000000 89213024
mcs10_r005_s30_AB02 77497180 17102995 14730415 14538965.000000 1039858.000000 1039821.000000 61944343
mcs10_r005_s30_AB03 142251428 12693926 15613071 20276605.000000 2664130.000000 2663808.000000 166501670
mcs10_r005_s30_AB04 112395780 5640814 6264319 5909322.000000 1096022.000000 1096111.000000 117374772
mcs10_r005_s30_AB05 95250846 6725836 4411687 4599332.000000 843028.000000 843056.000000 89520521
mcs10_r005_s30_AB06 76440766 12836991 13427557 15231052.000000 693787.000000 707671.000000 70744490
mcs10_r005_s30_AB07 128229452 13185434 15147776 3859810.000000 673432.000000 672135.000000 92520504
mcs10_r005_s30_AB08 58310818 12770973 2157272 5917225.000000 555142.000000 560837.000000 52195159
mcs10_r005_s30_AB09 85431606 16930107 10754356 9861112.000000 1099380.000000 1098473.000000 71058891
mcs10_r005_s35_AB00 NaN 71527505 57559630 48482159.000000 12910262.000000 12900318.000000 1612548752
mcs10_r005_s35_AB01 NaN 60565379 53857883 106398129.000000 13739094.000000 13738314.000000 NaN
mcs10_r005_s35_AB02 NaN 94141386 118747031 110360553.000000 31637631.000000 31635173.000000 NaN
mcs10_r005_s35_AB03 NaN 74928406 94359259 68878799.000000 22254367.000000 22253985.000000 NaN
mcs10_r005_s35_AB04 NaN 225664780 264711957 NaN 24583008.000000 24583890.000000 NaN
mcs10_r005_s35_AB05 NaN 225180333 252443818 NaN 18909507.000000 18890313.000000 NaN
mcs10_r005_s35_AB06 NaN 184186292 223543414 NaN 34292030.000000 34302483.000000 NaN
mcs10_r005_s35_AB07 NaN 151895055 175203153 NaN 44529527.000000 44510809.000000 NaN
mcs10_r005_s35_AB08 NaN 229926605 204799902 160007045.000000 21324164.000000 21312329.000000 NaN
mcs10_r005_s35_AB09 NaN 159345619 99884431 175267205.000000 32426971.000000 32412514.000000 NaN
mcs10_r005_s40_AB00 NaN 2135555771 1652679203 NaN NaN NaN NaN
mcs10_r005_s40_AB01 NaN 2755807708 3234825281 NaN NaN NaN NaN
mcs10_r005_s40_AB02 NaN 2738877100 3495750781 NaN NaN NaN NaN
mcs10_r005_s40_AB03 NaN NaN 1762147153 NaN NaN NaN NaN
mcs10_r005_s40_AB04 NaN 3355810308 NaN NaN NaN NaN NaN
mcs10_r005_s40_AB05 NaN 2487785552 3065839195 NaN NaN NaN NaN
mcs10_r005_s40_AB06 NaN 1606923452 2084096643 NaN NaN NaN NaN
mcs10_r005_s40_AB07 NaN 1488552742 1869540161 NaN NaN NaN NaN
mcs10_r005_s40_AB08 NaN 1123894075 1218007083 NaN NaN NaN NaN
mcs10_r005_s40_AB09 NaN 3849083484 3684117723 NaN NaN NaN NaN
mcs10_r005_s50_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB07 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_r005_s50_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s20_AB00 340792 171457 224604 83236.000000 72643.000000 72615.000000 342846
mcs10_r01_s20_AB01 784341 254137 321067 265482.000000 104695.000000 104801.000000 789188
