instance family cp
mcs10_r005_s35_AB01 0 585.846252
mcs10_r005_s35_AB02 0 1000.000000
mcs10_r005_s35_AB03 0 1000.000000
mcs10_r005_s35_AB04 0 1000.000000
mcs10_r005_s35_AB05 0 150.067444
mcs10_r005_s35_AB06 0 1000.000000
mcs10_r005_s35_AB07 0 1000.000000
mcs10_r005_s35_AB08 0 1000.000000
mcs10_r005_s35_AB09 0 1000.000000
mcs10_r005_s40_AB00 0 1000.000000
mcs10_r005_s40_AB01 0 1000.000000
mcs10_r005_s40_AB02 0 1000.000000
mcs10_r005_s40_AB03 0 1000.000000
mcs10_r005_s40_AB04 0 1000.000000
mcs10_r005_s40_AB05 0 1000.000000
mcs10_r005_s40_AB06 0 1000.000000
mcs10_r005_s40_AB07 0 1000.000000
mcs10_r005_s40_AB08 0 1000.000000
mcs10_r005_s40_AB09 0 1000.000000
mcs10_r005_s50_AB00 0 1000.000000
mcs10_r005_s50_AB01 0 1000.000000
mcs10_r005_s50_AB02 0 1000.000000
mcs10_r005_s50_AB03 0 1000.000000
mcs10_r005_s50_AB04 0 1000.000000
mcs10_r005_s50_AB05 0 1000.000000
mcs10_r005_s50_AB06 0 1000.000000
mcs10_r005_s50_AB07 0 1000.000000
mcs10_r005_s50_AB08 0 1000.000000
mcs10_r005_s50_AB09 0 1000.000000
mcs10_r01_s20_AB00 0 0.525537
mcs10_r01_s20_AB01 0 0.631049
mcs10_r01_s20_AB02 0 0.415582
mcs10_r01_s20_AB03 0 0.242310
mcs10_r01_s20_AB04 0 0.397233
mcs10_r01_s20_AB05 0 0.386570
mcs10_r01_s20_AB06 0 0.461697
mcs10_r01_s20_AB07 0 0.076582
mcs10_r01_s20_AB08 0 0.255050
mcs10_r01_s20_AB09 0 0.165918
mcs10_r01_s25_AB00 0 5.993411
mcs10_r01_s25_AB01 0 23.049728
mcs10_r01_s25_AB02 0 17.068041
mcs10_r01_s25_AB03 0 4.672403
mcs10_r01_s25_AB04 0 13.494305
mcs10_r01_s25_AB05 0 15.215357
mcs10_r01_s25_AB06 0 5.769263
mcs10_r01_s25_AB07 0 14.035178
mcs10_r01_s25_AB08 0 7.372616
mcs10_r01_s25_AB09 0 12.812483
mcs10_r01_s30_AB00 0 358.120514
mcs10_r01_s30_AB01 0 128.389969
mcs10_r01_s30_AB02 0 237.215302
mcs10_r01_s30_AB03 0 296.137726
mcs10_r01_s30_AB04 0 180.805466
mcs10_r01_s30_AB05 0 291.376892
mcs10_r01_s30_AB06 0 353.193451
mcs10_r01_s30_AB07 0 375.478394
mcs10_r01_s30_AB08 0 420.417877
mcs10_r01_s30_AB09 0 313.861633
mcs10_r01_s35_AB00 0 1000.000000
mcs10_r01_s35_AB01 0 1000.000000
mcs10_r01_s35_AB02 0 1000.000000
mcs10_r01_s35_AB03 0 1000.000000
mcs10_r01_s35_AB04 0 1000.000000
mcs10_r01_s35_AB05 0 1000.000000
mcs10_r01_s35_AB06 0 1000.000000
