instance clique cp-fc james-cpp-max
mcs10_r01_s25_AB01 1374 12616.000000 13291
mcs10_r01_s25_AB02 811 5190.000000 5754
mcs10_r01_s25_AB03 197 5365.000000 383
mcs10_r01_s25_AB04 3200 27391.000000 15999
mcs10_r01_s25_AB05 2216 25194.000000 15796
mcs10_r01_s25_AB06 3999 56563.000000 29899
mcs10_r01_s25_AB07 6324 65331.000000 15076
mcs10_r01_s25_AB08 3828 19216.000000 12312
mcs10_r01_s25_AB09 440 8396.000000 5767
mcs10_r01_s30_AB00 965 10869.000000 6028
mcs10_r01_s30_AB01 1309 26180.000000 8159
mcs10_r01_s30_AB02 565 5017.000000 2753
mcs10_r01_s30_AB03 376 12387.000000 10305
mcs10_r01_s30_AB04 828 31354.000000 22343
mcs10_r01_s30_AB05 593 23766.000000 15309
mcs10_r01_s30_AB06 601 13318.000000 10473
mcs10_r01_s30_AB07 481 30154.000000 5664
mcs10_r01_s30_AB08 165 18540.000000 3542
mcs10_r01_s30_AB09 800 19405.000000 16683
mcs10_r01_s35_AB00 2829 36700.000000 29995
mcs10_r01_s35_AB01 858 38764.000000 21938
mcs10_r01_s35_AB02 945 48684.000000 12088
mcs10_r01_s35_AB03 1025 40182.000000 40143
mcs10_r01_s35_AB04 1813 27625.000000 18897
mcs10_r01_s35_AB05 2516 71882.000000 46569
mcs10_r01_s35_AB06 697 67103.000000 39024
mcs10_r01_s35_AB07 2107 53022.000000 41469
mcs10_r01_s35_AB08 2472 49948.000000 28063
mcs10_r01_s35_AB09 6672 73731.000000 37218
mcs10_r01_s40_AB00 5593 271021.000000 126409
mcs10_r01_s40_AB01 1894 252907.000000 128337
mcs10_r01_s40_AB02 28708 363132.000000 191257
mcs10_r01_s40_AB03 17871 543511.000000 475013
mcs10_r01_s40_AB04 8733 319138.000000 81423
mcs10_r01_s40_AB05 6957 175431.000000 77687
mcs10_r01_s40_AB06 7346 86715.000000 37561
mcs10_r01_s40_AB07 4563 387654.000000 133834
mcs10_r01_s40_AB08 563 111262.000000 32642
mcs10_r01_s40_AB09 9477 130203.000000 98469
mcs10_r02_s20_AB00 120 1472.000000 1012
mcs10_r02_s20_AB01 162 1273.000000 1036
mcs10_r02_s20_AB02 71 779.000000 304
mcs10_r02_s20_AB03 71 1497.000000 1629
mcs10_r02_s20_AB04 157 1182.000000 1064
mcs10_r02_s20_AB05 136 2059.000000 1274
mcs10_r02_s20_AB06 88 1042.000000 1001
mcs10_r02_s20_AB07 94 2404.000000 1777
mcs10_r02_s20_AB08 89 1764.000000 1287
mcs10_r02_s20_AB09 74 1355.000000 906
mcs10_r02_s25_AB00 439 4242.000000 2230
mcs10_r02_s25_AB01 552 5961.000000 4893
mcs10_r02_s25_AB02 443 7681.000000 6167
mcs10_r02_s25_AB03 628 7769.000000 6202
mcs10_r02_s25_AB04 393 7024.000000 5488
mcs10_r02_s25_AB05 452 9128.000000 7350
mcs10_r02_s25_AB06 175 3875.000000 3087
mcs10_r02_s25_AB07 667 3427.000000 2993
mcs10_r02_s25_AB08 306 7618.000000 5157
mcs10_r02_s25_AB09 734 6988.000000 6765
mcs10_r02_s30_AB00 196 3969.000000 3202
mcs10_r02_s30_AB01 159 5571.000000 2313
mcs10_r02_s30_AB02 158 2909.000000 2269
mcs10_r02_s30_AB03 223 2724.000000 2727
mcs10_r02_s30_AB04 218 2094.000000 2516
mcs10_r02_s30_AB05 162 2957.000000 2618
mcs10_r02_s30_AB06 172 2587.000000 1407
mcs10_r02_s30_AB07 158 2721.000000 2120
mcs10_r02_s30_AB08 165 2973.000000 2081
mcs10_r02_s30_AB09 320 4407.000000 3496
mcs10_r02_s35_AB00 270 13228.000000 4959
mcs10_r02_s35_AB01 272 3048.000000 1951
mcs10_r02_s35_AB02 472 6134.000000 4088
mcs10_r02_s35_AB03 445 7820.000000 6155
mcs10_r02_s35_AB04 188 9549.000000 7432
mcs10_r02_s35_AB05 508 8871.000000 6475
mcs10_r02_s35_AB06 591 12316.000000 9095
mcs10_r02_s35_AB07 646 7818.000000 6322
mcs10_r02_s35_AB08 540 7879.000000 6296
mcs10_r02_s35_AB09 819 10289.000000 7357
mcs10_r02_s40_AB00 1311 26864.000000 19070
mcs10_r02_s40_AB01 959 20554.000000 19059
mcs10_r02_s40_AB02 889 21564.000000 13539
mcs10_r02_s40_AB03 1308 29826.000000 21863
mcs10_r02_s40_AB04 1841 23788.000000 25848
mcs10_r02_s40_AB05 881 14692.000000 9386
mcs10_r02_s40_AB06 780 17165.000000 10721
mcs10_r02_s40_AB07 1672 29849.000000 23283
mcs10_r02_s40_AB08 1290 24484.000000 18136
mcs10_r02_s40_AB09 705 21011.000000 16406
mcs30_b03_s15_AB00 197 1101.000000 928
mcs30_b03_s15_AB01 166 1031.000000 531
mcs30_b03_s15_AB02 268 3779.000000 1216
mcs30_b03_s15_AB03 120 1066.000000 393
mcs30_b03_s15_AB04 44 1323.000000 872
mcs30_b03_s15_AB05 236 858.000000 710
mcs30_b03_s15_AB06 27 959.000000 882
mcs30_b03_s15_AB07 35 498.000000 238
mcs30_b03_s15_AB08 17 1040.000000 240
mcs30_b03_s15_AB09 190 2606.000000 1997
mcs30_b03_s20_AB00 78 1532.000000 1170
mcs30_b03_s20_AB01 236 5554.000000 1406
mcs30_b03_s20_AB02 823 4161.000000 3652
mcs30_b03_s20_AB03 48 1753.000000 1571
mcs30_b03_s20_AB04 29 1206.000000 712
mcs30_b03_s20_AB05 565 7865.000000 3660
mcs30_b03_s20_AB06 516 3163.000000 1696
mcs30_b03_s20_AB07 1756 11942.000000 8403
mcs30_b03_s20_AB08 139 3043.000000 1968
mcs30_b03_s20_AB09 24 751.000000 514
mcs30_b03_s25_AB00 1527 57776.000000 124950
mcs30_b03_s25_AB01 10020 51139.000000 10337
mcs30_b03_s25_AB02 250837 756848.000000 26370
mcs30_b03_s25_AB03 3890 233086.000000 50132
mcs30_b03_s25_AB04 8567 118313.000000 67016
mcs30_b03_s25_AB05 43074 97358.000000 29019
mcs30_b03_s25_AB06 2308 28325.000000 146990
mcs30_b03_s25_AB07 12643 152410.000000 51983
mcs30_b03_s25_AB08 1309 246378.000000 41299
mcs30_b03_s25_AB09 16335 37580.000000 24155
mcs30_b03_s30_AB00 262 25433.000000 8628
mcs30_b03_s30_AB01 2602 42593.000000 43301
mcs30_b03_s30_AB02 1092 6751.000000 3953
mcs30_b03_s30_AB03 3870 199342.000000 107572
mcs30_b03_s30_AB04 613 32539.000000 6917
mcs30_b03_s30_AB05 15199 166669.000000 111531
mcs30_b03_s30_AB06 2558 95898.000000 77067
mcs30_b03_s30_AB07 24 96431.000000 16231
mcs30_b03_s30_AB08 2789 90562.000000 57522
mcs30_b03_s30_AB09 266 6649.000000 4665
mcs30_b03_s35_AB00 10577 184903.000000 289578
mcs30_b03_s35_AB01 5809 334157.000000 18053
mcs30_b03_s35_AB02 1129 247833.000000 277310
mcs30_b03_s35_AB03 3549 363450.000000 202196
mcs30_b03_s35_AB04 27469 1175848.000000 565759
mcs30_b03_s35_AB05 1070 199388.000000 290981
mcs30_b03_s35_AB06 55644 2038739.000000 657766
mcs30_b03_s35_AB07 84688 140759.000000 69476
mcs30_b03_s35_AB08 129479 5291494.000000 2369131
mcs30_b03_s35_AB09 6253 50970.000000 20103
mcs30_b03_s40_AB00 516845 4640367.000000 136164
mcs30_b03_s40_AB01 1250288 6349266.000000 1712469
mcs30_b03_s40_AB02 47496 3120303.000000 5862911
mcs30_b03_s40_AB03 103706 3229685.000000 1634317
mcs30_b03_s40_AB04 317066 5445235.000000 970988
mcs30_b03_s40_AB05 1504242 543426.000000 162536
mcs30_b03_s40_AB06 324089 3469882.000000 4695400
mcs30_b03_s40_AB07 1170 2580575.000000 591021
mcs30_b03_s40_AB08 66737 35265004.000000 3982900
mcs30_b03_s40_AB09 2548760 1929340.000000 236662
mcs30_b03m_s15_AB00 117 4773.000000 3727
mcs30_b03m_s15_AB01 317 3217.000000 794
mcs30_b03m_s15_AB02 47 403.000000 350
mcs30_b03m_s15_AB03 475 2086.000000 988
mcs30_b03m_s15_AB04 626 1746.000000 1012
mcs30_b03m_s15_AB05 45 2090.000000 1328
mcs30_b03m_s15_AB06 347 1600.000000 1428
mcs30_b03m_s15_AB07 350 2935.000000 627
mcs30_b03m_s15_AB08 120 1505.000000 1129
mcs30_b03m_s15_AB09 211 1890.000000 1793
mcs30_b03m_s20_AB00 392 1598.000000 4336
mcs30_b03m_s20_AB01 275 479.000000 424
mcs30_b03m_s20_AB02 1894 104053.000000 79521
mcs30_b03m_s20_AB03 325 4691.000000 2969
mcs30_b03m_s20_AB04 1036 4626.000000 2478
mcs30_b03m_s20_AB05 562 2640.000000 2097
mcs30_b03m_s20_AB06 63 6373.000000 9872
mcs30_b03m_s20_AB07 193 4090.000000 987
mcs30_b03m_s20_AB08 178 3604.000000 2485
mcs30_b03m_s20_AB09 1477 1190.000000 995
mcs30_b03m_s25_AB00 22874 46356.000000 37087
mcs30_b03m_s25_AB01 8356 4034.000000 8615
mcs30_b03m_s25_AB02 9470 275554.000000 39913
mcs30_b03m_s25_AB03 24126 113390.000000 79678
mcs30_b03m_s25_AB04 3255 864.000000 8031
mcs30_b03m_s25_AB05 21193 60303.000000 71077
mcs30_b03m_s25_AB06 1797 15163.000000 1117
mcs30_b03m_s25_AB07 5141 78622.000000 22521
mcs30_b03m_s25_AB08 184505 154893.000000 78138
mcs30_b03m_s25_AB09 6978 20391.000000 17277
mcs30_b03m_s30_AB00 1813 25218.000000 4978
mcs30_b03m_s30_AB01 33172 94368.000000 62074
mcs30_b03m_s30_AB02 1000 36068.000000 15761
mcs30_b03m_s30_AB03 588 18448.000000 12977
mcs30_b03m_s30_AB04 767 192019.000000 274646
mcs30_b03m_s30_AB05 910 43509.000000 27965
mcs30_b03m_s30_AB06 18938 43529.000000 42795
mcs30_b03m_s30_AB07 2745 170289.000000 93005
mcs30_b03m_s30_AB08 477 13478.000000 10746
mcs30_b03m_s30_AB09 295 2153.000000 470
mcs30_b03m_s35_AB00 20445 715517.000000 510919
mcs30_b03m_s35_AB01 23876 742572.000000 495563
mcs30_b03m_s35_AB02 32882 2116791.000000 1464808
mcs30_b03m_s35_AB03 93618 333779.000000 269955
mcs30_b03m_s35_AB04 59267 1713210.000000 1022609
mcs30_b03m_s35_AB05 12642 282915.000000 222153
mcs30_b03m_s35_AB06 29717 2719917.000000 634575
mcs30_b03m_s35_AB07 63570 764559.000000 100644
mcs30_b03m_s35_AB08 6141 307793.000000 142246
mcs30_b03m_s35_AB09 83884 500760.000000 778767
mcs30_b03m_s40_AB00 182172 670489.000000 396737
mcs30_b03m_s40_AB01 11575 1305021.000000 863270
mcs30_b03m_s40_AB02 810336 12651027.000000 1405707
mcs30_b03m_s40_AB03 79358 2034314.000000 869884
