instance clique cp-fc james-cpp-max
mcs10_b03m_s70_AB04 1000000 1000.000000 1000000
mcs10_b03m_s70_AB05 1000000 1000.000000 1000000
mcs10_b03m_s70_AB06 1000000 1000.000061 1000000
mcs10_b03m_s70_AB07 1000000 1000.000000 1000000
mcs10_b03m_s70_AB08 1000000 1000.000000 440804
mcs10_b03m_s70_AB09 632517 1000.000061 1000000
mcs10_b03m_s80_AB00 1000000 1000.000061 1000000
mcs10_b03m_s80_AB01 1000000 1000.000000 1000000
mcs10_b03m_s80_AB02 1000000 1000.000000 1000000
mcs10_b03m_s80_AB03 1000000 1000.000061 1000000
mcs10_b03m_s80_AB04 1000000 1000.000061 1000000
mcs10_b03m_s80_AB05 1000000 1000.000061 1000000
mcs10_b03m_s80_AB06 1000000 1000.000061 1000000
mcs10_b03m_s80_AB07 1000000 1000.000061 1000000
mcs10_b03m_s80_AB08 1000000 1000.000061 1000000
mcs10_b03m_s80_AB09 1000000 1000.000061 1000000
mcs10_b03m_s90_AB00 1000000 1000.000061 1000000
mcs10_b03m_s90_AB01 1000000 1000.000061 1000000
mcs10_b03m_s90_AB02 1000000 1000.000061 1000000
mcs10_b03m_s90_AB03 1000000 1000.000061 1000000
mcs10_b03m_s90_AB04 1000000 1000.000061 1000000
mcs10_b03m_s90_AB05 1000000 1000.000061 1000000
mcs10_b03m_s90_AB06 1000000 1000.000061 1000000
mcs10_b03m_s90_AB07 1000000 1000.000061 1000000
mcs10_b03m_s90_AB08 1000000 1000.000061 1000000
mcs10_b03m_s90_AB09 1000000 1000.000061 1000000
mcs10_b06_s100_AB00 276715 1000.000061 1000000
mcs10_b06_s100_AB01 287029 1000.000061 1000000
mcs10_b06_s100_AB02 10121 1000.000061 1000000
mcs10_b06_s100_AB03 788730 1000.000061 1000000
mcs10_b06_s100_AB04 5239 1000.000000 1000000
mcs10_b06_s100_AB05 418861 1000.000061 1000000
mcs10_b06_s100_AB06 8988 1000.000061 1000000
mcs10_b06_s100_AB07 351048 1000.000061 1000000
mcs10_b06_s100_AB08 433480 1000.000061 1000000
mcs10_b06_s100_AB09 10021 1000.000061 1000000
mcs10_b06_s70_AB00 3398 1000.000000 720445
mcs10_b06_s70_AB01 1662 911.873108 45576
mcs10_b06_s70_AB02 12087 1000.000000 1000000
mcs10_b06_s70_AB03 1652 1000.000000 57053
mcs10_b06_s70_AB04 3784 1000.000000 195710
mcs10_b06_s70_AB05 5002 1000.000000 169508
mcs10_b06_s70_AB06 20391 1000.000000 246031
mcs10_b06_s70_AB07 4914 1000.000061 94428
mcs10_b06_s70_AB08 38036 1000.000000 287423
mcs10_b06_s70_AB09 19206 1000.000000 235214
mcs10_b06_s80_AB00 183391 1000.000000 1000000
mcs10_b06_s80_AB01 1000000 1000.000061 1000000
mcs10_b06_s80_AB02 126428 1000.000000 189794
mcs10_b06_s80_AB03 145129 1000.000000 350716
mcs10_b06_s80_AB04 487026 1000.000000 1000000
mcs10_b06_s80_AB05 86946 1000.000000 1000000
mcs10_b06_s80_AB06 1000000 1000.000000 1000000
mcs10_b06_s80_AB07 1000000 1000.000061 1000000
mcs10_b06_s80_AB08 198414 1000.000000 675119
mcs10_b06_s80_AB09 158984 1000.000061 1000000
mcs10_b06_s90_AB00 678638 1000.000000 1000000
mcs10_b06_s90_AB01 1000000 1000.000061 1000000
mcs10_b06_s90_AB02 1000000 1000.000000 1000000
mcs10_b06_s90_AB03 1000000 1000.000061 1000000
mcs10_b06_s90_AB04 1000000 1000.000061 1000000
mcs10_b06_s90_AB05 1000000 1000.000061 1000000
mcs10_b06_s90_AB06 1000000 1000.000000 1000000
mcs10_b06_s90_AB07 1000000 1000.000061 1000000
mcs10_b06_s90_AB08 1000000 1000.000061 1000000
mcs10_b06_s90_AB09 1000000 1000.000061 1000000
mcs10_b06m_s100_AB00 9063 1000.000061 461295
mcs10_b06m_s100_AB01 475242 1000.000000 1000000
mcs10_b06m_s100_AB02 23000 1000.000061 1000000
mcs10_b06m_s100_AB03 80107 1000.000061 1000000
mcs10_b06m_s100_AB04 69903 1000.000000 1000000
mcs10_b06m_s100_AB05 228983 1000.000000 1000000
mcs10_b06m_s100_AB06 1000000 1000.000061 1000000
mcs10_b06m_s100_AB07 123464 1000.000061 1000000
mcs10_b06m_s100_AB08 771209 1000.000061 1000000
mcs10_b06m_s100_AB09 100927 1000.000061 1000000
mcs10_b06m_s70_AB00 10453 1000.000000 169886
mcs10_b06m_s70_AB01 13833 1000.000000 70243
mcs10_b06m_s70_AB02 28283 1000.000000 297262
mcs10_b06m_s70_AB03 28505 1000.000000 259532
mcs10_b06m_s70_AB04 17245 1000.000061 216405
mcs10_b06m_s70_AB05 6159 1000.000061 279764
mcs10_b06m_s70_AB06 18173 1000.000000 285096
mcs10_b06m_s70_AB07 40670 1000.000000 767301
