instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
si4_m4Dr2_m625.02 1e6 1e3 373 1000002 5 49
si4_m4Dr2_m625.07 1e6 1e3 301 1000002 8 53
si4_m4Dr2_m625.00 1e6 1e3 425 1000002 5 47
si4_m4Dr2_m625.08 1e6 1e3 296 1000002 6 49
si4_m4Dr2_m625.01 1e6 1e3 301 1000002 6 52
si4_m4Dr2_m625.06 1e6 1e3 322 1000003 5 51
si4_m4Dr2_m625.03 1e6 1e3 307 1000002 10 63
si4_m4Dr2_m625.05 1e6 1e3 308 1000002 11 51
si2_r001_m600.00 1e6 1000.000183 579 1000002 1000002 62
si2_r001_m600.06 1e6 1000.000244 574 1000002 1000002 63
si2_r001_m600.04 1e6 1000.000122 812 1000003 158 81
si2_r001_m600.07 1e6 1000.000183 504 1000003 1000001 56
si2_r001_m600.02 1e6 1000.000183 288 1000002 1000002 43
si2_r001_m600.08 1e6 1000.000244 687 1000002 1000002 72
si2_r001_m600.03 1e6 1000.000244 342 1000002 1000002 48
si2_r001_m600.01 1e6 1000.000244 244 1000002 1000001 43
si2_r001_m600.05 1e6 1000.000183 368 1000002 1000002 49
si2_r001_m600.09 1e6 1000.000000 1104 1000002 1000002 91
si2_m4Dr2_m256.09 1000009 15.383585 54 10985 10 13
si2_m4Dr2_m256.03 1000007 8.887213 142 568 68 16
si2_m4Dr2_m256.04 1000007 11.488511 45 9077 56 11
si2_m4Dr2_m256.07 1000007 47.299702 31 41984 2 10
si2_m4Dr2_m256.00 1000007 5.683020 32 801 14 13
si2_m4Dr2_m256.06 1000009 4.051651 51 1000000 63 15
si2_m4Dr2_m256.08 1000007 24.779020 47 1194 1 10
si2_m4Dr2_m256.05 1000007 27.214106 49 48054 0 11
si2_m4Dr2_m256.01 1000009 2.990910 31 1000000 2 12
si2_m4Dr2_m256.02 1000007 80.873062 30 1000000 3 11
si6_r001_m600.09 1e6 1e3 683 1000002 7 71
si6_r001_m600.00 1e6 1e3 502 1000003 268 79
si6_r001_m600.07 1e6 1e3 506 1000003 8 73
si6_r001_m600.03 1e6 1e3 492 1000002 26 74
si6_r001_m600.01 1e6 1e3 475 1000002 17 73
si6_r001_m600.06 1e6 1e3 476 1000002 10 76
si6_r001_m600.08 1e6 1e3 719 1000002 7 75
si6_r001_m600.02 1e6 1e3 530 1000002 65 88
si6_r001_m600.04 1e6 1e3 656 1000002 365 69
si6_r001_m600.05 1e6 1e3 479 1000003 7 72
si2_m4Dr2_m1296.05 1e6 1e3 1316 1000007 20 189
si2_m4Dr2_m1296.09 1e6 1e3 1452 1000008 26 175
si2_m4Dr2_m1296.02 1e6 1e3 1604 1000011 82 198
si2_m4Dr2_m1296.07 1e6 1e3 1476 1000008 81 177
si2_m4Dr2_m1296.00 1e6 1e3 1313 1000008 17 156
si2_m4Dr2_m1296.06 1e6 1e3 1580 1000012 137 161
si2_m4Dr2_m1296.08 1e6 1e3 1360 1000009 24 175
si2_m4Dr2_m1296.01 1e6 1e3 1606 1000008 429 171
si2_m4Dr2_m1296.03 1e6 1e3 1321 1000008 24 174
si2_m4Dr2_m1296.04 1e6 1e3 1409 1000008 18 178
si4_b06m_m800.08 1e6 1e3 569 1000003 12 80
si4_b06m_m800.00 1e6 1e3 533 1000003 9 76
si4_b06m_m800.06 1e6 1e3 520 1000003 9 79
si4_b06m_m800.05 1e6 1e3 682 1000003 9 79
si4_b06m_m800.04 1e6 1e3 521 1000004 7 85
si4_b06m_m800.09 1e6 1e3 681 7 8 82
si4_b06m_m800.01 1e6 1e3 537 1000003 11 77
si4_b06m_m800.07 1e6 1e3 546 1000004 8 90
si4_b06m_m800.03 1e6 1e3 778 75 8 82
si4_b06m_m800.02 1e6 1e3 548 1000003 7 82
si6_m4Dr2_m625.08 1e6 1e3 568 1000002 6 64
si6_m4Dr2_m625.09 1e6 1e3 428 1000003 6 71
si6_m4Dr2_m625.05 1e6 1e3 459 1000002 16 79
si6_m4Dr2_m625.01 1e6 1e3 396 1000002 10 64
si6_m4Dr2_m625.06 1e6 1e3 490 1000002 10 67
si6_m4Dr2_m625.00 1e6 1e3 424 1000002 10 74
si6_m4Dr2_m625.03 1e6 1e3 405 1000002 10 71
si6_m4Dr2_m625.02 1e6 1e3 652 1000002 9 70
si6_m4Dr2_m625.07 1e6 1e3 404 1000002 6 64
si6_m4Dr2_m625.04 1e6 1e3 399 1000002 8 68
si2_m4D_m1296.01 1e6 1e3 1604 1000007 100 2033
si2_m4D_m1296.08 1e6 1e3 1360 1000008 25 180
si2_m4D_m1296.06 1e6 1e3 1397 1000007 179 2189
si2_m4D_m1296.05 1e6 1e3 1176 1000008 20 162
si2_m4D_m1296.09 1e6 1e3 1179 1000008 51 182
si2_m4D_m1296.03 1e6 1e3 1359 1000008 93 2189
si2_m4D_m1296.07 1e6 1e3 1392 1000008 24 149
si2_m4D_m1296.02 1e6 1e3 1366 1000008 25 151
si2_m4D_m1296.04 1e6 1e3 1316 1000008 28 182
si2_m4D_m1296.00 1e6 1e3 1201 1000008 28 168
si4_b03_m800.05 1e6 1e3 640 6 10 128
si4_b03_m800.00 1e6 1e3 672 11 10 119
si4_b03_m800.08 1e6 1e3 624 11 7 129
si4_b03_m800.09 1e6 1e3 685 6 6 118
si4_b03_m800.03 1e6 1e3 712 7 7 122
si4_b03_m800.02 1e6 1e3 743 10 6 123
si4_b03_m800.04 1e6 1e3 824 11 8 130
si4_b03_m800.01 1e6 1e3 727 11 6 124
si4_b03_m800.06 1e6 1e3 670 6 6 129
si4_b03_m800.07 1e6 1e3 621 10 9 120
si6_m4D_m1296.02 1e6 1e3 2339 1000009 102 6303
si6_m4D_m1296.07 1e6 1e3 3528 1000009 55 881
si6_m4D_m1296.05 1e6 1e3 2835 1000010 89 6752
si6_m4D_m1296.09 1e6 1e3 4045 1000025 86 941
si6_m4D_m1296.00 1e6 1e3 126328 1000023 86110 233727
si6_m4D_m1296.08 1e6 1e3 3241 1000009 66 7602
si6_m4D_m1296.04 1e6 1e3 2338 1000009 105 6652
si6_m4D_m1296.06 1e6 1e3 3650 1000016 57 935
si6_m4D_m1296.01 1e6 1e3 248607 1000029 23844 422374
si6_m4D_m1296.03 1e6 1e3 11161 1000029 1609 1458
si6_r001_m200.05 1e6 1000.000122 34 1000000 42 13
si6_r001_m200.09 1e6 1000.000122 60 1000000 10 12
si6_r001_m200.07 1e6 1000.000122 32 1000000 0 12
si6_r001_m200.02 1e6 1000.000122 34 1000000 5 12
si6_r001_m200.01 1e6 1000.000122 33 1000000 1 11
si6_r001_m200.00 1e6 1000.000122 55 1000000 1 11
si6_r001_m200.04 1e6 1000.000122 33 1000000 8 13
