instance clique cp-fc cp-mac james-cpp-max
mcs10_b03m_s50_AB07 35111 228.432510 194.718506 3138
mcs10_b03m_s50_AB08 380790 127.054314 108.496010 5529
mcs10_b03m_s50_AB09 97078 1000.000000 1000.000000 221861
mcs10_b03m_s60_AB00 718 1000.000000 1000.000000 6401
mcs10_b03m_s60_AB01 294 1000.000000 1000.000000 21630
mcs10_b03m_s60_AB02 16075 120.294235 93.593445 1403
mcs10_b03m_s60_AB03 1081 152.579346 151.217148 1723
mcs10_b03m_s60_AB04 29091 768.095337 649.462708 23265
mcs10_b03m_s60_AB05 1294 91.189850 90.301353 791
mcs10_b03m_s60_AB06 506 541.832336 439.981293 12865
mcs10_b03m_s60_AB07 138 83.353706 56.453007 4869
mcs10_b03m_s60_AB08 4562 1000.000000 1000.000000 6728
mcs10_b03m_s60_AB09 3085 35.509274 26.798361 1606
mcs10_b03m_s70_AB00 722258 1000.000061 1000.000061 11398
mcs10_b03m_s70_AB01 1000000 1000.000000 1000.000000 290927
mcs10_b03m_s70_AB02 302377 1000.000000 1000.000000 138454
mcs10_b03m_s70_AB03 30616 1000.000000 1000.000061 1000000
mcs10_b03m_s70_AB04 1000000 1000.000061 1000.000061 298981
mcs10_b03m_s70_AB05 305556 1000.000061 1000.000061 425088
mcs10_b03m_s70_AB06 1000000 1000.000000 1000.000000 1000000
mcs10_b03m_s70_AB07 1000000 1000.000000 1000.000000 622446
mcs10_b03m_s70_AB08 1000000 1000.000000 1000.000000 20442
mcs10_b03m_s70_AB09 638377 1000.000000 1000.000000 1000000
mcs10_b03m_s80_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s80_AB01 1000000 1000.000061 1000.000061 334779
mcs10_b03m_s80_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s80_AB03 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s80_AB04 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s80_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s80_AB06 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s80_AB07 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s80_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s80_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s90_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s90_AB01 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s90_AB02 1000000 1000.000122 1000.000061 1000000
mcs10_b03m_s90_AB03 1000000 1000.000061 1000.000122 1000000
mcs10_b03m_s90_AB04 1000000 1000.000122 1000.000122 1000000
mcs10_b03m_s90_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s90_AB06 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s90_AB07 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s90_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_b03m_s90_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_b06_s100_AB00 65855 1000.000061 1000.000061 1000000
mcs10_b06_s100_AB01 477953 1000.000061 1000.000061 1000000
mcs10_b06_s100_AB02 38353 1000.000061 1000.000061 1000000
mcs10_b06_s100_AB03 1000000 1000.000061 1000.000061 1000000
