instance clique cp-fc cp-mac james-cpp-max
mcs10_b03m_s50_AB08 411615847 29525015.000000 19669306.000000 26431495
mcs10_b03m_s50_AB09 107778388 NaN NaN 888880594
mcs10_b03m_s60_AB00 906811 NaN NaN 18577057
mcs10_b03m_s60_AB01 431709 NaN NaN 66691654
mcs10_b03m_s60_AB02 39351563 36718126.000000 22101616.000000 3994340
mcs10_b03m_s60_AB03 1339583 35782406.000000 33295205.000000 4909057
mcs10_b03m_s60_AB04 34607276 204095922.000000 146478340.000000 76897787
mcs10_b03m_s60_AB05 1148841 20004056.000000 18639470.000000 1993656
mcs10_b03m_s60_AB06 1043655 148203802.000000 100288997.000000 48248692
mcs10_b03m_s60_AB07 103826 22530563.000000 12258413.000000 15929690
mcs10_b03m_s60_AB08 6419481 NaN NaN 21798281
mcs10_b03m_s60_AB09 2874565 9248388.000000 4966598.000000 5777218
mcs10_b03m_s70_AB00 1026122969 NaN NaN 27756242
mcs10_b03m_s70_AB01 NaN NaN NaN 809344953
mcs10_b03m_s70_AB02 256507633 NaN NaN 376695328
mcs10_b03m_s70_AB03 26005884 NaN NaN NaN
mcs10_b03m_s70_AB04 NaN NaN NaN 934433534
mcs10_b03m_s70_AB05 284398969 NaN NaN 1274481203
mcs10_b03m_s70_AB06 NaN NaN NaN NaN
mcs10_b03m_s70_AB07 NaN NaN NaN 1942501141
mcs10_b03m_s70_AB08 NaN NaN NaN 64820406
mcs10_b03m_s70_AB09 666656932 NaN NaN NaN
mcs10_b03m_s80_AB00 NaN NaN NaN NaN
mcs10_b03m_s80_AB01 NaN NaN NaN 954972855
mcs10_b03m_s80_AB02 NaN NaN NaN NaN
mcs10_b03m_s80_AB03 NaN NaN NaN NaN
mcs10_b03m_s80_AB04 NaN NaN NaN NaN
mcs10_b03m_s80_AB05 NaN NaN NaN NaN
mcs10_b03m_s80_AB06 NaN NaN NaN NaN
mcs10_b03m_s80_AB07 NaN NaN NaN NaN
mcs10_b03m_s80_AB08 NaN NaN NaN NaN
mcs10_b03m_s80_AB09 NaN NaN NaN NaN
mcs10_b03m_s90_AB00 NaN NaN NaN NaN
mcs10_b03m_s90_AB01 NaN NaN NaN NaN
mcs10_b03m_s90_AB02 NaN NaN NaN NaN
mcs10_b03m_s90_AB03 NaN NaN NaN NaN
mcs10_b03m_s90_AB04 NaN NaN NaN NaN
mcs10_b03m_s90_AB05 NaN NaN NaN NaN
mcs10_b03m_s90_AB06 NaN NaN NaN NaN
mcs10_b03m_s90_AB07 NaN NaN NaN NaN
mcs10_b03m_s90_AB08 NaN NaN NaN NaN
mcs10_b03m_s90_AB09 NaN NaN NaN NaN
mcs10_b06_s100_AB00 40897983 NaN NaN NaN
mcs10_b06_s100_AB01 352783274 NaN NaN NaN
mcs10_b06_s100_AB02 24421996 NaN NaN NaN
mcs10_b06_s100_AB03 NaN NaN NaN NaN
mcs10_b06_s100_AB04 27791418 NaN NaN NaN
mcs10_b06_s100_AB05 300078535 NaN NaN NaN
mcs10_b06_s100_AB06 12931304 NaN NaN NaN
mcs10_b06_s100_AB07 189462165 NaN NaN NaN
mcs10_b06_s100_AB08 99307518 NaN NaN NaN
mcs10_b06_s100_AB09 12220484 NaN NaN 1722439526
mcs10_b06_s70_AB00 5861899 NaN NaN 1134224165
mcs10_b06_s70_AB01 1596291 179839644.000000 117525285.000000 73893814
mcs10_b06_s70_AB02 12103797 NaN NaN 1424548054
mcs10_b06_s70_AB03 1149115 NaN NaN 93739192
mcs10_b06_s70_AB04 1808164 NaN NaN 242703594
mcs10_b06_s70_AB05 6525658 NaN NaN 276130043
mcs10_b06_s70_AB06 6215670 NaN NaN 255944705
mcs10_b06_s70_AB07 3904394 NaN NaN 108227734
mcs10_b06_s70_AB08 38347496 NaN NaN 252320068
mcs10_b06_s70_AB09 6239056 NaN NaN 241042408
mcs10_b06_s80_AB00 72401457 NaN NaN NaN
mcs10_b06_s80_AB01 NaN NaN NaN NaN
mcs10_b06_s80_AB02 13144021 NaN NaN 71457243
mcs10_b06_s80_AB03 245887778 NaN NaN 1979341008
mcs10_b06_s80_AB04 333652945 NaN NaN NaN
mcs10_b06_s80_AB05 157605214 NaN NaN 2204672524
mcs10_b06_s80_AB06 530056533 NaN NaN NaN
mcs10_b06_s80_AB07 NaN NaN NaN NaN
mcs10_b06_s80_AB08 236966818 NaN NaN 1900532699
mcs10_b06_s80_AB09 424247252 NaN NaN NaN
mcs10_b06_s90_AB00 NaN NaN NaN NaN
mcs10_b06_s90_AB01 NaN NaN NaN NaN
mcs10_b06_s90_AB02 NaN NaN NaN NaN
mcs10_b06_s90_AB03 NaN NaN NaN NaN
mcs10_b06_s90_AB04 NaN NaN NaN NaN
mcs10_b06_s90_AB05 NaN NaN NaN NaN
mcs10_b06_s90_AB06 NaN NaN NaN NaN
mcs10_b06_s90_AB07 NaN NaN NaN NaN
mcs10_b06_s90_AB08 NaN NaN NaN NaN
mcs10_b06_s90_AB09 NaN NaN NaN NaN
mcs10_b06m_s100_AB00 10769537 NaN NaN 538833748
mcs10_b06m_s100_AB01 423089976 NaN NaN NaN
mcs10_b06m_s100_AB02 36645808 NaN NaN NaN
mcs10_b06m_s100_AB03 42098617 NaN NaN NaN
mcs10_b06m_s100_AB04 85232266 NaN NaN NaN
mcs10_b06m_s100_AB05 63532831 NaN NaN NaN
mcs10_b06m_s100_AB06 585810482 NaN NaN NaN
mcs10_b06m_s100_AB07 37522455 NaN NaN NaN
mcs10_b06m_s100_AB08 157551550 NaN NaN NaN
mcs10_b06m_s100_AB09 102736887 NaN NaN NaN
mcs10_b06m_s70_AB00 4954544 NaN NaN 157986010
mcs10_b06m_s70_AB01 5725037 NaN 187004404.000000 101103383
mcs10_b06m_s70_AB02 20309552 NaN NaN 477047745
