instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_b03m_s100_AB07 680 1156 39772 999 1165.000000 757.000000 1791.000000
mcs10_b03m_s100_AB08 731 1254 50137 1064 1268.000000 920.000000 4022.000000
mcs10_b03m_s100_AB09 692 1162 33552 1023 1164.000000 876.000000 1769.000000
mcs10_b03m_s40_AB00 183 252 3747 383 252.000000 226.000000 12953.000000
mcs10_b03m_s40_AB01 169 243 3140 358 243.000000 221.000000 636.000000
mcs10_b03m_s40_AB02 193 244 3222 403 236.000000 214.000000 519.000000
mcs10_b03m_s40_AB03 188 275 3588 377 267.000000 239.000000 375.000000
mcs10_b03m_s40_AB04 201 263 3712 403 248.000000 228.000000 5183.000000
mcs10_b03m_s40_AB05 194 274 3412 397 277.000000 245.000000 1908.000000
mcs10_b03m_s40_AB06 219 277 3698 434 277.000000 267.000000 1212.000000
mcs10_b03m_s40_AB07 159 183 1512 318 186.000000 150.000000 210.000000
mcs10_b03m_s40_AB08 203 280 3773 414 267.000000 237.000000 2147.000000
mcs10_b03m_s40_AB09 228 276 3351 447 259.000000 241.000000 322.000000
mcs10_b03m_s50_AB00 292 351 5952 588 356.000000 328.000000 799.000000
mcs10_b03m_s50_AB01 301 395 7206 604 390.000000 362.000000 1376.000000
mcs10_b03m_s50_AB02 341 432 8436 658 420.000000 370.000000 839.000000
mcs10_b03m_s50_AB03 301 394 7964 602 382.000000 370.000000 620.000000
mcs10_b03m_s50_AB04 291 379 5731 590 379.000000 349.000000 8425.000000
mcs10_b03m_s50_AB05 325 406 8198 658 406.000000 396.000000 5189.000000
mcs10_b03m_s50_AB06 280 325 5185 573 345.000000 315.000000 4709.000000
mcs10_b03m_s50_AB07 296 393 7005 601 380.000000 352.000000 857.000000
mcs10_b03m_s50_AB08 354 485 8494 681 485.000000 435.000000 754.000000
mcs10_b03m_s50_AB09 317 401 8071 639 401.000000 383.000000 1979.000000
mcs10_b03m_s60_AB00 219 305 4974 429 314.000000 260.000000 427.000000
mcs10_b03m_s60_AB01 243 326 5992 476 328.000000 272.000000 386.000000
mcs10_b03m_s60_AB02 235 329 5597 456 321.000000 273.000000 31161.000000
mcs10_b03m_s60_AB03 268 368 5211 512 354.000000 288.000000 412.000000
mcs10_b03m_s60_AB04 268 366 7253 519 357.000000 311.000000 1998.000000
mcs10_b03m_s60_AB05 270 357 7038 513 357.000000 351.000000 816047.000000
mcs10_b03m_s60_AB06 251 354 7209 489 363.000000 359.000000 677.000000
mcs10_b03m_s60_AB07 247 352 6353 471 347.000000 273.000000 487.000000
mcs10_b03m_s60_AB08 243 339 6707 482 348.000000 316.000000 4389.000000
mcs10_b03m_s60_AB09 262 343 6561 514 335.000000 305.000000 621.000000
mcs10_b03m_s70_AB00 321 461 10258 615 453.000000 387.000000 765.000000
mcs10_b03m_s70_AB01 323 477 11522 623 465.000000 391.000000 1034.000000
mcs10_b03m_s70_AB02 324 420 10580 643 412.000000 402.000000 4810.000000
mcs10_b03m_s70_AB03 321 448 10600 635 440.000000 354.000000 731.000000
mcs10_b03m_s70_AB04 338 461 10952 671 461.000000 453.000000 5013.000000
mcs10_b03m_s70_AB05 316 425 10033 627 431.000000 403.000000 755.000000
mcs10_b03m_s70_AB06 328 427 9517 642 418.000000 364.000000 541.000000
mcs10_b03m_s70_AB07 347 437 10131 686 458.000000 408.000000 9588.000000
mcs10_b03m_s70_AB08 323 437 10003 616 437.000000 355.000000 729.000000
mcs10_b03m_s70_AB09 337 452 11439 669 460.000000 448.000000 919.000000
mcs10_b03m_s80_AB00 445 600 14510 838 623.000000 571.000000 11544.000000
mcs10_b03m_s80_AB01 449 609 16995 857 599.000000 573.000000 1463.000000
mcs10_b03m_s80_AB02 584 848 23243 1012 840.000000 646.000000 1337.000000
mcs10_b03m_s80_AB03 497 733 23717 916 718.000000 572.000000 1489.000000
mcs10_b03m_s80_AB04 536 754 21177 974 754.000000 680.000000 495367.000000
mcs10_b03m_s80_AB05 539 736 19634 971 767.000000 661.000000 1219.000000
mcs10_b03m_s80_AB06 451 651 16936 815 641.000000 525.000000 1568.000000
mcs10_b03m_s80_AB07 521 828 22818 915 844.000000 680.000000 1216.000000
mcs10_b03m_s80_AB08 494 700 20479 1710 700.000000 588.000000 996.000000
mcs10_b03m_s80_AB09 470 704 23853 863 694.000000 562.000000 3741.000000
mcs10_b03m_s90_AB00 579 800 24665 1105 788.000000 684.000000 2229.000000
mcs10_b03m_s90_AB01 533 749 20893 972 719.000000 521.000000 572.000000
mcs10_b03m_s90_AB02 569 769 25374 1080 755.000000 691.000000 1796.000000
mcs10_b03m_s90_AB03 578 783 19365 1086 791.000000 749.000000 1564.000000
mcs10_b03m_s90_AB04 593 754 25345 1137 744.000000 734.000000 341502.000000
mcs10_b03m_s90_AB05 621 860 26367 1121 847.000000 679.000000 4262.000000
mcs10_b03m_s90_AB06 636 856 27306 1155 858.000000 645.000000 2212.000000
mcs10_b03m_s90_AB07 637 916 28364 1173 920.000000 698.000000 4903.000000
mcs10_b03m_s90_AB08 616 819 28152 1126 864.000000 794.000000 74435.000000
mcs10_b03m_s90_AB09 577 830 28902 1075 830.000000 776.000000 6115.000000
mcs10_b06_s100_AB00 1233 2287 80752 1560 2251.000000 2205.000000 6570.000000
mcs10_b06_s100_AB01 1217 2261 81628 1538 2261.000000 2233.000000 4745.000000
mcs10_b06_s100_AB02 1210 2246 79000 1527 2270.000000 2248.000000 5814.000000
