instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_b03m_s40_AB02 13 0 1 18 0.001939 0.005533 0.007113
mcs10_b03m_s40_AB03 11 0 1 16 0.001894 0.005335 0.005981
mcs10_b03m_s40_AB04 12 0 1 16 0.001902 0.005048 0.017945
mcs10_b03m_s40_AB05 11 0 1 17 0.001889 0.005203 0.008856
mcs10_b03m_s40_AB06 14 0 1 17 0.002199 0.005849 0.008678
mcs10_b03m_s40_AB07 7 0 0 13 0.001599 0.003674 0.004576
mcs10_b03m_s40_AB08 13 0 1 16 0.002320 0.005388 0.023994
mcs10_b03m_s40_AB09 14 0 1 20 0.002174 0.005585 0.006182
mcs10_b03m_s50_AB00 31 0 2 34 0.003356 0.010351 0.013967
mcs10_b03m_s50_AB01 32 0 3 35 0.003658 0.010920 0.016486
mcs10_b03m_s50_AB02 35 0 3 39 0.003925 0.011888 0.015217
mcs10_b03m_s50_AB03 33 0 3 37 0.003532 0.012752 0.012982
mcs10_b03m_s50_AB04 31 0 2 34 0.003520 0.010167 0.108758
mcs10_b03m_s50_AB05 38 0 3 42 0.004644 0.011748 0.029580
mcs10_b03m_s50_AB06 29 0 2 31 0.003255 0.010465 0.022127
mcs10_b03m_s50_AB07 33 0 2 39 0.003500 0.011352 0.015032
mcs10_b03m_s50_AB08 39 0 3 42 0.004705 0.014892 0.018282
mcs10_b03m_s50_AB09 36 0 3 39 0.004385 0.012272 0.021331
mcs10_b03m_s60_AB00 16 0 2 22 0.002719 0.009120 0.010961
mcs10_b03m_s60_AB01 20 0 3 23 0.002822 0.010360 0.011259
mcs10_b03m_s60_AB02 18 0 2 23 0.002625 0.008992 0.089662
mcs10_b03m_s60_AB03 22 0 2 26 0.002980 0.009742 0.010404
mcs10_b03m_s60_AB04 24 0 3 29 0.005049 0.011466 0.036554
mcs10_b03m_s60_AB05 24 0 3 29 0.003154 0.013781 1.703662
mcs10_b03m_s60_AB06 21 0 3 25 0.003022 0.012918 0.016816
mcs10_b03m_s60_AB07 19 0 2 23 0.002772 0.009460 0.011933
mcs10_b03m_s60_AB08 21 0 3 24 0.003034 0.010728 0.044159
mcs10_b03m_s60_AB09 24 0 2 28 0.002893 0.011154 0.015395
mcs10_b03m_s70_AB00 39 0 5 40 0.004170 0.018209 0.022716
mcs10_b03m_s70_AB01 39 0 5 41 0.004323 0.018121 0.028253
mcs10_b03m_s70_AB02 45 0 5 46 0.004398 0.017719 0.081122
mcs10_b03m_s70_AB03 42 0 4 44 0.004384 0.015851 0.019187
mcs10_b03m_s70_AB04 47 0 5 48 0.005363 0.021191 0.079470
mcs10_b03m_s70_AB05 41 0 5 42 0.004312 0.018804 0.026724
mcs10_b03m_s70_AB06 42 0 4 46 0.004284 0.017239 0.020191
mcs10_b03m_s70_AB07 50 0 4 53 0.004928 0.019500 0.051387
mcs10_b03m_s70_AB08 36 0 4 39 0.004243 0.015622 0.023587
mcs10_b03m_s70_AB09 47 0 5 47 0.004758 0.020935 0.030030
mcs10_b03m_s80_AB00 72 0 8 69 0.006789 0.032043 0.272036
mcs10_b03m_s80_AB01 79 0 9 78 0.007173 0.034331 0.055457
mcs10_b03m_s80_AB02 85 0 11 84 0.008670 0.039952 0.052476
mcs10_b03m_s80_AB03 82 0 12 84 0.007566 0.032748 0.044238
mcs10_b03m_s80_AB04 90 0 10 90 0.008305 0.042049 3.873925
mcs10_b03m_s80_AB05 87 0 10 84 0.008372 0.040217 0.051471
mcs10_b03m_s80_AB06 69 0 8 72 0.006563 0.031816 0.048336
mcs10_b03m_s80_AB07 73 0 10 74 0.007722 0.040646 0.055692
mcs10_b03m_s80_AB08 78 0 10 79 0.007235 0.035318 0.043067
mcs10_b03m_s80_AB09 73 0 13 75 0.007033 0.033145 0.057871
mcs10_b03m_s90_AB00 135 0 12 135 0.010717 0.050269 0.078425
mcs10_b03m_s90_AB01 97 0 11 96 0.008043 0.037145 0.037594
mcs10_b03m_s90_AB02 125 0 13 116 0.009908 0.049440 0.071944
mcs10_b03m_s90_AB03 127 0 9 123 0.010383 0.058865 0.064306
mcs10_b03m_s90_AB04 146 0 12 137 0.010788 0.055749 1.314680
mcs10_b03m_s90_AB05 127 0 13 132 0.010337 0.052268 0.145213
mcs10_b03m_s90_AB06 131 0 14 123 0.011420 0.044204 0.068294
mcs10_b03m_s90_AB07 145 0 13 131 0.011502 0.051986 0.102149
mcs10_b03m_s90_AB08 131 0 15 125 0.010642 0.082349 1.963502
mcs10_b03m_s90_AB09 124 0 16 118 0.010515 0.054416 0.225588
mcs10_b06_s100_AB00 58 1 50 58 0.014958 0.170401 0.296520
mcs10_b06_s100_AB01 58 1 51 56 0.014628 0.161092 0.218378
mcs10_b06_s100_AB02 62 1 47 57 0.014407 0.176306 0.256381
mcs10_b06_s100_AB03 58 1 62 57 0.015124 0.165664 0.250578
mcs10_b06_s100_AB04 54 1 38 54 0.012556 0.085828 0.104877
mcs10_b06_s100_AB05 59 1 57 57 0.017107 0.203348 0.275231
mcs10_b06_s100_AB06 48 1 33 47 0.013074 0.133950 0.188248
mcs10_b06_s100_AB07 57 1 60 57 0.014109 0.143822 0.219063
mcs10_b06_s100_AB08 61 1 25 59 0.013904 0.142157 0.161202
mcs10_b06_s100_AB09 52 1 36 52 0.014165 0.168173 0.579560
mcs10_b06_s70_AB00 47 0 9 48 0.006463 0.035239 0.034914
mcs10_b06_s70_AB01 37 0 7 39 0.005090 0.024971 0.030298
mcs10_b06_s70_AB02 40 0 7 43 0.005282 0.024777 0.031158
mcs10_b06_s70_AB03 36 0 9 39 0.005187 0.027286 0.028550
mcs10_b06_s70_AB04 38 0 9 41 0.005581 0.032920 0.038831
mcs10_b06_s70_AB05 43 0 6 42 0.005621 0.027963 0.030803
mcs10_b06_s70_AB06 41 0 9 42 0.005132 0.027382 0.029224
mcs10_b06_s70_AB07 37 0 7 40 0.005199 0.027817 0.030106
mcs10_b06_s70_AB08 45 0 8 49 0.005826 0.029545 0.035663
mcs10_b06_s70_AB09 40 0 8 42 0.005869 0.026067 0.031721
mcs10_b06_s80_AB00 76 0 13 72 0.009034 0.050965 0.057140
mcs10_b06_s80_AB01 77 0 15 79 0.009403 0.054597 0.058495
mcs10_b06_s80_AB02 63 0 16 66 0.009402 0.065002 0.085627
mcs10_b06_s80_AB03 91 0 16 89 0.010469 0.061940 0.128032
mcs10_b06_s80_AB04 73 0 23 71 0.009076 0.050652 0.054508
mcs10_b06_s80_AB05 69 0 10 68 0.009001 0.040469 0.041757
mcs10_b06_s80_AB06 96 0 13 73 0.008221 0.048582 0.051571
mcs10_b06_s80_AB07 82 0 14 83 0.009355 0.050972 0.052385
mcs10_b06_s80_AB08 74 0 13 74 0.008842 0.047846 0.055561
mcs10_b06_s80_AB09 77 0 19 78 0.009456 0.062757 0.074314
mcs10_b06_s90_AB00 124 0 22 114 0.014476 0.098810 0.104872
mcs10_b06_s90_AB01 132 1 30 126 0.015536 0.107662 0.110495
mcs10_b06_s90_AB02 130 0 26 127 0.014471 0.098348 0.114815
mcs10_b06_s90_AB03 143 1 35 136 0.018217 0.143609 0.157340
mcs10_b06_s90_AB04 126 1 23 127 0.017352 0.141350 0.158519
mcs10_b06_s90_AB05 134 0 28 122 0.015358 0.098768 0.102587
mcs10_b06_s90_AB06 138 1 34 129 0.015374 0.106420 0.124225
mcs10_b06_s90_AB07 143 1 30 122 0.014406 0.103913 0.113931
mcs10_b06_s90_AB08 131 0 24 124 0.015272 0.094595 0.152937
mcs10_b06_s90_AB09 127 1 24 125 0.013298 0.066911 0.069788
mcs10_b06m_s100_AB00 47 1 32 48 0.011026 0.081233 0.135364
mcs10_b06m_s100_AB01 71 2 54 66 0.015374 0.133700 0.208870
mcs10_b06m_s100_AB02 51 1 46 51 0.014225 0.136783 0.194060
mcs10_b06m_s100_AB03 74 1 39 52 0.014365 0.143763 0.211192
mcs10_b06m_s100_AB04 54 1 34 53 0.013870 0.170640 0.242411
mcs10_b06m_s100_AB05 64 1 38 61 0.012053 0.110642 0.137892
